"subject_id","group","wave","fcOrder","item","forecast","form","resolution_31May2024","unit","diff","diff_standardized","diff_standardized_to_reg"
"9pA1UhzRyENKrwU6UsUQ","reg",2,"fcCB","G1920",10,"D",550347492,"USD",550347482,0.901571280746167,NA
"9pA1UhzRyENKrwU6UsUQ","reg",2,"fcCB","G2006",0,"D",38.6,"percent",38.6,5,NA
"Ewp3WFDEQVhQx6UMUAiN","reg",2,"fcAE","C1039",25,"B",4.23,"percent",20.77,0.947060089270336,NA
"Ewp3WFDEQVhQx6UMUAiN","reg",2,"fcAE","G2063",2000,"B",8986,"count",6986,2.15609589281382,NA
"p7jxXch3zyEvD9B92JRQ","reg",2,"fcBA","C47",133,"C",104,"count",29,-0.692285636115493,NA
"p7jxXch3zyEvD9B92JRQ","reg",2,"fcBA","M7949",13700000,"C",12.116,"million km2",13699987.884,5,NA
"R1sGzUZNWuEyAXcRhhWb","reg",2,"fcAE","C1039",4,"B",4.23,"percent",0.23,-0.957604580757645,NA
"R1sGzUZNWuEyAXcRhhWb","reg",2,"fcAE","G2063",6500,"B",8986,"count",2486,-0.297560981971707,NA
"eY5DtwY3LVvSbYn1iohi","reg",2,"fcDC","G2404",2.5,"E",2.1,"percent",0.4,-0.525987652464468,NA
"GOQMVlwANYX2lSvvAvS4","reg",2,"fcDC","G2404",3.2,"E",2.1,"percent",1.1,0.00355615499515022,NA
"UixxkbQY5Kl386J292ei","reg",2,"fcAE","C1039",11.7,"B",4.23,"percent",7.47,-0.286242739910392,NA
"UixxkbQY5Kl386J292ei","reg",2,"fcAE","G2063",10900,"B",8986,"count",1914,-0.609448033611112,NA
"Ps3jaWnRHhoNNeL3PDa4","reg",2,"fcBA","C47",2e+05,"C",104,"count",199896,5,NA
"Ps3jaWnRHhoNNeL3PDa4","reg",2,"fcBA","M7949",12,"C",12.116,"million km2",0.116,-0.719623756021592,NA
"Llp7QT0WZn6H3JgzqQ4l","reg",2,"fcCB","G1920",5.75e+08,"D",550347492,"USD",24652508,-1.41335235769633,NA
"Llp7QT0WZn6H3JgzqQ4l","reg",2,"fcCB","G2006",37,"D",38.6,"percent",1.6,-0.308898008817574,NA
"etnyKJ3NA8vLJWQgHIDJ","reg",2,"fcCB","G1920",30,"D",550347492,"USD",550347462,0.901571192675184,NA
"etnyKJ3NA8vLJWQgHIDJ","reg",2,"fcCB","G2006",40,"D",38.6,"percent",1.4,-0.384641626195037,NA
"4ErLxgNrw5giUuWzjjsm","reg",2,"fcCB","G1920",448745412,"D",550347492,"USD",101602080,-1.07450113788073,NA
"4ErLxgNrw5giUuWzjjsm","reg",2,"fcCB","G2006",42,"D",38.6,"percent",3.4,0.372794547579587,NA
"iWkqE8VcvCk5Sr80QPjo","reg",2,"fcED","G1472",2.7,"A",2.6,"percent",0.1,-0.52395283868422,NA
"iWkqE8VcvCk5Sr80QPjo","reg",2,"fcED","G1948",2900000,"A",2126085,"count",773915,0.439102667405535,NA
"zPdJNnMEELaOlKvgj0xS","reg",2,"fcED","G1472",2.2,"A",2.6,"percent",0.4,0.566150382739325,NA
"zPdJNnMEELaOlKvgj0xS","reg",2,"fcED","G1948",2690000,"A",2126085,"count",563915,-0.114349457699784,NA
"A7wLmahMacmd6RniSE0h","reg",2,"fcAE","C1039",55,"B",4.23,"percent",50.77,3.72894617012912,NA
"A7wLmahMacmd6RniSE0h","reg",2,"fcAE","G2063",17500,"B",8986,"count",8514,2.98924871607433,NA
"vSgAkbmZBhLr5kGKihkG","reg",2,"fcBA","C47",85,"C",104,"count",19,-0.984023318760974,NA
"vSgAkbmZBhLr5kGKihkG","reg",2,"fcBA","M7949",13.3,"C",12.116,"million km2",1.184,-0.0470086726042094,NA
"pt2W0izi84dQu7fJwQWy","reg",2,"fcED","G1472",2.7,"A",2.6,"percent",0.1,-0.52395283868422,NA
"pt2W0izi84dQu7fJwQWy","reg",2,"fcED","G1948",2550000,"A",2126085,"count",423915,-0.48331754110333,NA
"LVOkVEUVB5INM1MjeBsr","reg",2,"fcAE","C1039",15,"B",4.23,"percent",10.77,0.0197647289840741,NA
"LVOkVEUVB5INM1MjeBsr","reg",2,"fcAE","G2063",11500,"B",8986,"count",2514,-0.282293783639709,NA
"SBm8jd39CUAJxlDEl20U","reg",2,"fcAE","C1039",9,"B",4.23,"percent",4.77,-0.536612487187683,NA
"SBm8jd39CUAJxlDEl20U","reg",2,"fcAE","G2063",18500,"B",8986,"count",9514,3.53450579936,NA
"CVmfiQuobm1ux4zBp3l4","reg",2,"fcCB","G1920",4.75e+08,"D",550347492,"USD",75347492,-1.19011450567901,NA
"CVmfiQuobm1ux4zBp3l4","reg",2,"fcCB","G2006",38.4,"D",38.6,"percent",0.200000000000003,-0.83910333045981,NA
"TKO2Alhu9oJQR8IzF5eI","reg",2,"fcDC","G2404",3.6,"E",2.1,"percent",1.5,0.306152616400646,NA
"17LEM8wPQyshaga81mOO","reg",2,"fcCB","G1920",3e+08,"D",550347492,"USD",250347492,-0.41949341024613,NA
"17LEM8wPQyshaga81mOO","reg",2,"fcCB","G2006",40,"D",38.6,"percent",1.4,-0.384641626195037,NA
"DRqr8hSzaMnwXidtehGV","reg",2,"fcBA","C47",44000,"C",104,"count",43896,5,NA
"DRqr8hSzaMnwXidtehGV","reg",2,"fcBA","M7949",13.6,"C",12.116,"million km2",1.484,0.141928148580448,NA
"IIeCbY9dM0C04giDl66U","reg",2,"fcAE","C1039",76,"B",4.23,"percent",71.77,5,NA
"IIeCbY9dM0C04giDl66U","reg",2,"fcAE","G2063",8900,"B",8986,"count",86,-1.60617798185732,NA
"QcrmHac8XMeZcwhfqCZW","reg",2,"fcBA","C47",120,"C",104,"count",16,-1.07154462355462,NA
"QcrmHac8XMeZcwhfqCZW","reg",2,"fcBA","M7949",12.2,"C",12.116,"million km2",0.0839999999999996,-0.739777016947956,NA
"6k3jgmlRSTqrodJ0jwAs","reg",2,"fcED","G1472",3.2,"A",2.6,"percent",0.6,1.29288586368836,NA
"6k3jgmlRSTqrodJ0jwAs","reg",2,"fcED","G1948",2550000,"A",2126085,"count",423915,-0.48331754110333,NA
"az533Se9msJWRtlthzno","reg",2,"fcAE","C1039",25,"B",4.23,"percent",20.77,0.947060089270336,NA
"az533Se9msJWRtlthzno","reg",2,"fcAE","G2063",1681,"B",8986,"count",7305,2.33003290238195,NA
"1bohrO3vq1ZQNnSrphM4","reg",2,"fcDC","G2404",3.3,"E",2.1,"percent",1.2,0.079205270346524,NA
"yzpvkuUEteiwEY5CHRrG","reg",2,"fcBA","C47",177,"C",104,"count",73,0.591360167524624,NA
"yzpvkuUEteiwEY5CHRrG","reg",2,"fcBA","M7949",12.6,"C",12.116,"million km2",0.484,-0.487861255368412,NA
"qXLy4pIlDDDoNenqCw3e","reg",2,"fcED","G1472",3.1,"A",2.6,"percent",0.5,0.929518123213841,NA
"qXLy4pIlDDDoNenqCw3e","reg",2,"fcED","G1948",275000,"A",2126085,"count",1851085,3.27796945597552,NA
"2sNFytLCdDNZk8UnzLGD","reg",2,"fcCB","G1920",8e+06,"D",550347492,"USD",542347492,0.866342931847583,NA
"2sNFytLCdDNZk8UnzLGD","reg",2,"fcCB","G2006",38,"D",38.6,"percent",0.600000000000001,-0.687616095704886,NA
"sp1prp6yBqCbHrTIgTfz","reg",2,"fcBA","C47",60,"C",104,"count",44,-0.254679112147271,NA
"sp1prp6yBqCbHrTIgTfz","reg",2,"fcBA","M7949",14,"C",12.116,"million km2",1.884,0.393843910159992,NA
"Owa2LoPD0gHy7KjtL0db","reg",2,"fcBA","C47",35000,"C",104,"count",34896,5,NA
"Owa2LoPD0gHy7KjtL0db","reg",2,"fcBA","M7949",12.5,"C",12.116,"million km2",0.384,-0.550840195763297,NA
"VpHBzD0cNZ0G63Z3WZbn","reg",2,"fcDC","G2404",2.5,"E",2.1,"percent",0.4,-0.525987652464468,NA
"kWCRNYdWCscmc5F9HpUl","reg",2,"fcDC","G2404",2,"E",2.1,"percent",0.1,-0.75293499851859,NA
"rVcV4RQCRFG8K2N3i8g5","reg",2,"fcCB","G1920",7.9e+08,"D",550347492,"USD",239652508,-0.466589297593085,NA
"rVcV4RQCRFG8K2N3i8g5","reg",2,"fcCB","G2006",38,"D",38.6,"percent",0.600000000000001,-0.687616095704886,NA
"EECGDwmWAmWfpKKnYI7O","reg",2,"fcED","G1472",2.75,"A",2.6,"percent",0.15,-0.342268968446963,NA
"EECGDwmWAmWfpKKnYI7O","reg",2,"fcED","G1948",2420000,"A",2126085,"count",293915,-0.825930761406623,NA
"EYYpsISJ9Gn6xVcClZge","reg",2,"fcDC","G2404",4,"E",2.1,"percent",1.9,0.608749077806143,NA
"Xv00kKXR4bR6IIl92EtE","reg",2,"fcDC","G2404",1.5,"E",2.1,"percent",0.6,-0.37468942176172,NA
"7vYEstY8KitU7rruFhbI","reg",2,"fcAE","C1039",7,"B",4.23,"percent",2.77,-0.722071559244935,NA
"7vYEstY8KitU7rruFhbI","reg",2,"fcAE","G2063",6000,"B",8986,"count",2986,-0.0249324403288709,NA
"RFOrWXAQX1PO0HFZwlLL","reg",2,"fcDC","G2404",7,"E",2.1,"percent",4.9,2.87822253834736,NA
"GexzYjhJP1cjPlyIYmBj","reg",2,"fcBA","C47",70,"C",104,"count",34,-0.546416794792752,NA
"GexzYjhJP1cjPlyIYmBj","reg",2,"fcBA","M7949",14,"C",12.116,"million km2",1.884,0.393843910159992,NA
"3Wk3c1HGlTGUJ1UbAUNw","reg",2,"fcBA","C47",120,"C",104,"count",16,-1.07154462355462,NA
"3Wk3c1HGlTGUJ1UbAUNw","reg",2,"fcBA","M7949",13,"C",12.116,"million km2",0.884,-0.235945493788868,NA
"rC8vlv2BY9Kml9ASUSKt","reg",2,"fcBA","C47",150,"C",104,"count",46,-0.196331575618175,NA
"rC8vlv2BY9Kml9ASUSKt","reg",2,"fcBA","M7949",12.5,"C",12.116,"million km2",0.384,-0.550840195763297,NA
"5Jqzges6X72YJR7IVU7C","reg",2,"fcCB","G1920",450000,"D",550347492,"USD",549897492,0.899589727679116,NA
"5Jqzges6X72YJR7IVU7C","reg",2,"fcCB","G2006",41,"D",38.6,"percent",2.4,-0.00592353930772517,NA
"Sah225y6DfpWaipZUpoA","reg",2,"fcAE","C1039",20,"B",4.23,"percent",15.77,0.483412409127205,NA
"Sah225y6DfpWaipZUpoA","reg",2,"fcAE","G2063",14100,"B",8986,"count",5114,1.13537463290304,NA
"D0FyE8Mv8tbcZvUb3vgv","reg",2,"fcBA","C47",67,"C",104,"count",37,-0.458895489999108,NA
"D0FyE8Mv8tbcZvUb3vgv","reg",2,"fcBA","M7949",10,"C",12.116,"million km2",2.116,0.539955051876127,NA
"dh2PexZUtPejLAUOwsKc","reg",2,"fcDC","G2404",4.2,"E",2.1,"percent",2.1,0.760047308508891,NA
"3lUidRlitol2ksRqEJvN","reg",2,"fcCB","G1920",8.4e+08,"D",550347492,"USD",289652508,-0.24641184175512,NA
"3lUidRlitol2ksRqEJvN","reg",2,"fcCB","G2006",36,"D",38.6,"percent",2.6,0.0698200780697383,NA
"kEsM4qtWu3c24cxLGja3","reg",2,"fcCB","G1920",7.8e+08,"D",550347492,"USD",229652508,-0.510624788760678,NA
"kEsM4qtWu3c24cxLGja3","reg",2,"fcCB","G2006",40,"D",38.6,"percent",1.4,-0.384641626195037,NA
"syaOSO9GuFLWojMPYoT5","reg",2,"fcCB","G1920",5.4e+07,"D",550347492,"USD",496347492,0.663779672476656,NA
"syaOSO9GuFLWojMPYoT5","reg",2,"fcCB","G2006",57,"D",38.6,"percent",18.4,5,NA
"VS5l6y8k6nRvLQg16gSw","reg",2,"fcBA","C47",150,"C",104,"count",46,-0.196331575618175,NA
"VS5l6y8k6nRvLQg16gSw","reg",2,"fcBA","M7949",13.5,"C",12.116,"million km2",1.384,0.0789492081855621,NA
"OmDvk4v7NxuhAnLBrkbW","reg",2,"fcCB","G1920",850000,"D",550347492,"USD",549497492,0.897828308032412,NA
"OmDvk4v7NxuhAnLBrkbW","reg",2,"fcCB","G2006",30,"D",38.6,"percent",8.6,2.34212859939361,NA
"m7jRKz68K57DR1eMddXA","reg",2,"fcED","G1472",2.4,"A",2.6,"percent",0.2,-0.160585098209705,NA
"m7jRKz68K57DR1eMddXA","reg",2,"fcED","G1948",2310000,"A",2126085,"count",183915,-1.11583425550941,NA
"lWmRKxaFqAUiFJGMoQ5r","reg",2,"fcBA","C47",160,"C",104,"count",56,0.0954061070273061,NA
"lWmRKxaFqAUiFJGMoQ5r","reg",2,"fcBA","M7949",12.6,"C",12.116,"million km2",0.484,-0.487861255368412,NA
"u2ImtLqPCHaQdlpUDDTH","reg",2,"fcAE","C1039",30,"B",4.23,"percent",25.77,1.41070776941347,NA
"u2ImtLqPCHaQdlpUDDTH","reg",2,"fcAE","G2063",5000,"B",8986,"count",3986,0.520324642956802,NA
"hOdVHTzPBsd26UMRFL3Q","reg",2,"fcED","G1472",2,"A",2.6,"percent",0.6,1.29288586368836,NA
"hOdVHTzPBsd26UMRFL3Q","reg",2,"fcED","G1948",3050000,"A",2126085,"count",923915,0.834425613909334,NA
"E3hK4Etw5ylsn1SsXH8S","reg",2,"fcCB","G1920",543746431287,"D",550347492,"USD",543196083795,5,NA
"E3hK4Etw5ylsn1SsXH8S","reg",2,"fcCB","G2006",26.5,"D",38.6,"percent",12.1,3.6676419034992,NA
"cF4Hy6MQbBHjtLu8xQRm","reg",2,"fcAE","C1039",40,"B",4.23,"percent",35.77,2.33800312969973,NA
"cF4Hy6MQbBHjtLu8xQRm","reg",2,"fcAE","G2063",10100,"B",8986,"count",1114,-1.04565370023965,NA
"54TEF4eZN23KZglG8kHT","reg",2,"fcCB","G1920",789750000,"D",550347492,"USD",239402508,-0.467690184872275,NA
"54TEF4eZN23KZglG8kHT","reg",2,"fcCB","G2006",36.2,"D",38.6,"percent",2.4,-0.00592353930772517,NA
"nDejJ2gTwPGj389BaBsD","reg",2,"fcCB","G1920",7.5e+08,"D",550347492,"USD",199652508,-0.642731262263457,NA
"nDejJ2gTwPGj389BaBsD","reg",2,"fcCB","G2006",36.5,"D",38.6,"percent",2.1,-0.119538965373918,NA
"iMajxXV06Xq7yz9G7h9l","reg",2,"fcED","G1472",3.1,"A",2.6,"percent",0.5,0.929518123213841,NA
"iMajxXV06Xq7yz9G7h9l","reg",2,"fcED","G1948",2400000,"A",2126085,"count",273915,-0.87864048760713,NA
"oF9hBAnlrGYSa56Xj8G1","reg",2,"fcAE","C1039",21,"B",4.23,"percent",16.77,0.576141945155831,NA
"oF9hBAnlrGYSa56Xj8G1","reg",2,"fcAE","G2063",5221,"B",8986,"count",3765,0.399822827550669,NA
"P11pwBllfUHMrfMVJO4y","reg",2,"fcBA","C47",8000,"C",104,"count",7896,5,NA
"P11pwBllfUHMrfMVJO4y","reg",2,"fcBA","M7949",25,"C",12.116,"million km2",12.884,5,NA
"gLW9BncdnIaH02q49IcY","reg",2,"fcCB","G1920",792794802,"D",550347492,"USD",242447310,-0.454282249714468,NA
"gLW9BncdnIaH02q49IcY","reg",2,"fcCB","G2006",37,"D",38.6,"percent",1.6,-0.308898008817574,NA
"UQJfChjDGbHBK9ydZuBL","reg",2,"fcBA","C47",175,"C",104,"count",71,0.533012630995528,NA
"UQJfChjDGbHBK9ydZuBL","reg",2,"fcBA","M7949",14,"C",12.116,"million km2",1.884,0.393843910159992,NA
"HozmCUcCHVfHEc3uO79q","reg",2,"fcCB","G1920",30,"D",550347492,"USD",550347462,0.901571192675184,NA
"HozmCUcCHVfHEc3uO79q","reg",2,"fcCB","G2006",38,"D",38.6,"percent",0.600000000000001,-0.687616095704886,NA
"887VJxVdyCaKr418yL1i","reg",2,"fcDC","G2404",5,"E",2.1,"percent",2.9,1.36524023131988,NA
"O88gcs0iBczTV5V6mLTh","reg",2,"fcCB","G1920",572154123,"D",550347492,"USD",21806631,-1.42588431684609,NA
"O88gcs0iBczTV5V6mLTh","reg",2,"fcCB","G2006",37.4,"D",38.6,"percent",1.2,-0.460385243572498,NA
"LSSNI9CJdMEB7kIIdv1j","reg",2,"fcCB","G1920",7.2e+08,"D",550347492,"USD",169652508,-0.774837735766235,NA
"LSSNI9CJdMEB7kIIdv1j","reg",2,"fcCB","G2006",37.2,"D",38.6,"percent",1.4,-0.384641626195037,NA
"L93UQXO4wGARzfPq08oO","reg",2,"fcED","G1472",2.7,"A",2.6,"percent",0.1,-0.52395283868422,NA
"L93UQXO4wGARzfPq08oO","reg",2,"fcED","G1948",3e+06,"A",2126085,"count",873915,0.702651298408068,NA
"xEOfY34NajjGyJmQtJ4s","reg",2,"fcDC","G2404",1,"E",2.1,"percent",1.1,0.00355615499515022,NA
"Ktd2aatpEAfmRXFdSH7f","reg",2,"fcED","G1472",3,"A",2.6,"percent",0.4,0.566150382739325,NA
"Ktd2aatpEAfmRXFdSH7f","reg",2,"fcED","G1948",2750000,"A",2126085,"count",623915,0.0437797209017354,NA
"M0AQNZG3Ztf3ASfDCjLk","reg",2,"fcAE","C1039",15,"B",4.23,"percent",10.77,0.0197647289840741,NA
"M0AQNZG3Ztf3ASfDCjLk","reg",2,"fcAE","G2063",12500,"B",8986,"count",3514,0.262963299645965,NA
"GWvg7NVGakvtiXu8z98w","reg",2,"fcBA","C47",70,"C",104,"count",34,-0.546416794792752,NA
"GWvg7NVGakvtiXu8z98w","reg",2,"fcBA","M7949",1.1,"C",12.116,"million km2",11.016,5,NA
"pabaPqShLcfFodkNxSi9","reg",2,"fcAE","C1039",7,"B",4.23,"percent",2.77,-0.722071559244935,NA
"pabaPqShLcfFodkNxSi9","reg",2,"fcAE","G2063",12898,"B",8986,"count",3912,0.479975618793662,NA
"J5eWb6Pq8mCfi5w5m4yC","reg",2,"fcCB","G1920",8e+08,"D",550347492,"USD",249652508,-0.422553806425492,NA
"J5eWb6Pq8mCfi5w5m4yC","reg",2,"fcCB","G2006",38,"D",38.6,"percent",0.600000000000001,-0.687616095704886,NA
"XDOPO1uoLt19UpVvxQMU","reg",2,"fcBA","C47",140,"C",104,"count",36,-0.488069258263656,NA
"XDOPO1uoLt19UpVvxQMU","reg",2,"fcBA","M7949",12700,"C",12.116,"million km2",12687.884,5,NA
"I6zwRZqces67gSGlGpMl","reg",2,"fcCB","G1920",8e+08,"D",550347492,"USD",249652508,-0.422553806425492,NA
"I6zwRZqces67gSGlGpMl","reg",2,"fcCB","G2006",37.5,"D",38.6,"percent",1.1,-0.49825705226123,NA
"ViAOJ5c4xcmlicXktJDv","reg",2,"fcDC","G2404",3.75,"E",2.1,"percent",1.65,0.419626289427707,NA
"LT2PWfa1d0t3mjn0w4KZ","reg",2,"fcBA","C47",140,"C",104,"count",36,-0.488069258263656,NA
