trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_leapfrog,task_admc_a2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_abstraction,task_time_series,task_admc_rc1,task_coherence_forecasting,task_impossible_question,task_admc_rp,task_graph_literacy,task_shipley_vocab,task_bayesian_update_easy,task_bayesian_update_hard,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,slider_start,slider_moved,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,moved_sliders,cfs_id,cfs_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,question_order,shipley_vocabulary_score,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
html-keyboard-response,126,186667,0.0-7.0-5.0-4.0-0.15,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,148.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,2.0,55.0,80.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,127,187669,0.0-7.0-5.0-4.0-1.15,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,128,187683,0.0-7.0-5.0-4.0-0.16,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,6.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,2.0,56.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,129,188684,0.0-7.0-5.0-4.0-1.16,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,130,188988,0.0-7.0-5.0-4.0-0.17,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,303.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,2.0,57.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,131,189989,0.0-7.0-5.0-4.0-1.17,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,132,190348,0.0-7.0-5.0-4.0-0.18,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,357.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,2.0,58.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,133,191349,0.0-7.0-5.0-4.0-1.18,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,134,191628,0.0-7.0-5.0-4.0-0.19,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,278.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,2.0,59.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,135,192630,0.0-7.0-5.0-4.0-1.19,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,136,199051,0.0-7.0-5.0-5.0-0.0-0.0,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,6420.0,,,,,,,,,,,,leapfrog_pt_trial_interblock_question,,,,,,,,,,,,,,,,,,,False,282.0,,{'prediction': '4'},,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,137,200813,0.0-7.0-5.0-5.0-0.0-1.0,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,1757.0,,,,,,,,,,,,pt_trial_after_interblock,,,,,,,,,,,,,,,,,,,False,284.0,"<p>Now, please <b>place your right hand on the left and right arrow keys</b>.</p>
                            <p><i>Press the <b>spacebar</b> with your left hand whenever you are ready to continue!</i></p>", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,138,201236,0.0-7.0-5.0-6.0-0.0,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,422.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,60.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,139,202238,0.0-7.0-5.0-6.0-1.0,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,140,202748,0.0-7.0-5.0-6.0-0.1,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,509.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,61.0,80.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,141,203749,0.0-7.0-5.0-6.0-1.1,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,142,204052,0.0-7.0-5.0-6.0-0.2,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,302.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,62.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,143,205053,0.0-7.0-5.0-6.0-1.2,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,144,205316,0.0-7.0-5.0-6.0-0.3,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,262.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,63.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,145,206317,0.0-7.0-5.0-6.0-1.3,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,146,206620,0.0-7.0-5.0-6.0-0.4,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,302.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,64.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,147,207622,0.0-7.0-5.0-6.0-1.4,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,148,207956,0.0-7.0-5.0-6.0-0.5,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,333.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,65.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,149,208958,0.0-7.0-5.0-6.0-1.5,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,150,209203,0.0-7.0-5.0-6.0-0.6,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,244.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,66.0,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,151,210208,0.0-7.0-5.0-6.0-1.6,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,152,210564,0.0-7.0-5.0-6.0-0.7,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,355.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,67.0,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,153,211566,0.0-7.0-5.0-6.0-1.7,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,154,211885,0.0-7.0-5.0-6.0-0.8,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,319.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,68.0,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,155,212887,0.0-7.0-5.0-6.0-1.8,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,156,213180,0.0-7.0-5.0-6.0-0.9,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,292.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,69.0,80.0,90.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,157,214182,0.0-7.0-5.0-6.0-1.9,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,158,214501,0.0-7.0-5.0-6.0-0.10,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,318.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,70.0,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,159,215502,0.0-7.0-5.0-6.0-1.10,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,160,215684,0.0-7.0-5.0-6.0-0.11,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,181.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,71.0,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,161,216686,0.0-7.0-5.0-6.0-1.11,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,162,217044,0.0-7.0-5.0-6.0-0.12,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,358.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,72.0,80.0,90.0,90.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,163,218046,0.0-7.0-5.0-6.0-1.12,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,164,218109,0.0-7.0-5.0-6.0-0.13,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,62.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,73.0,100.0,90.0,100.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,165,219110,0.0-7.0-5.0-6.0-1.13,r0YGbjPmUjrp0QsUcYg1,223301,5,HL1g0VVyYbovCVJ3fJonKWSqSG,AKI8S7MIOFhTcFdy0rnrHGDP6b,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
