trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_cognitive_reflection,task_admc_a1,task_admc_rc2,task_admc_dr,task_bayesian_update_easy,task_bayesian_update_hard,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_time_series,task_leapfrog,task_raven_matrix,task_number_series,response,question_order,custom_timer_ended_trial,interval_id,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,stimulus,slider_start,slider_moved,admc_id,admc_response,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,list_id,ns_id,ns_response
html-keyboard-response,2,2,0.0-2.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,HsnA4XmABGzn9sAziyWGkJwScK,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,14289,0.0-7.0-1.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,u0N9VsFgRbUsEvigsnWaYhH3wG,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,14289,0.0-7.0-2.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,u0N9VsFgRbUsEvigsnWaYhH3wG,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,9,118344,0.0-7.0-3.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,u0N9VsFgRbUsEvigsnWaYhH3wG,1280.0,720.0,,104051.0,,,,,,,,,,,,cognitive_reflection_test_trial,,,,,,,,,,,,,,,,,,"{'crt_1': '5 cents', 'crt_2': '5 minutes', 'crt_3': '47 days', 'crt_4': '12 days', 'crt_5': '29 students', 'crt_6': '0 dollars', 'crt_7': 'has lost money.'}","[0, 1, 2, 3, 4, 5, 6]",False,5.0,5 cents,5 minutes,47 days,12 days,29 students,0 dollars,has lost money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,118350,0.0-7.0-4.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,u0N9VsFgRbUsEvigsnWaYhH3wG,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,11,191617,0.0-7.0-5.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,u0N9VsFgRbUsEvigsnWaYhH3wG,1280.0,720.0,,73263.0,,,,,,,,,,,,feedback_Cognitive Reflection,,,,,,,,,,,,,,,,,,It's a std. CRT/BN test. I was conditioned by session 4 to go fast.  I went too fast in this test. ,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,12,191633,0.0-7.0-6.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,u0N9VsFgRbUsEvigsnWaYhH3wG,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,13,191636,0.0-7.0-8.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,u0N9VsFgRbUsEvigsnWaYhH3wG,1280.0,720.0,,,,,,,,,,,,,,async_data_save,,Cognitive Reflection__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,1,1000,0.0-1.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,1272.0,606.0,True,edge-chromium,123.0.0,False,Windows 10,True,61.19,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1000,0.0-2.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,3,1001,0.0-3.0-0.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,4,1152,0.0-5.0-1.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,5,2612,0.0-5.0-2.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,"[{'page_index': 0, 'viewing_time': 1459}]",1459.0,,,,,,,,,,,,admc_a1_instructions,,,,,,,,,,,,,,,,,,,,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,6,2612,0.0-5.0-3.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,7,15394,0.0-5.0-4.0-0.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,12779.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,5,,False,5.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,True,a1_1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,8,26375,0.0-5.0-4.0-0.1,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,10975.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,5,,False,6.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,True,a1_2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,9,39229,0.0-5.0-4.0-0.2,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,12848.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,3,,False,7.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,True,a1_3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,10,74065,0.0-5.0-4.0-0.3,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,34829.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,2,,False,8.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,True,a1_4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,11,91406,0.0-5.0-4.0-0.4,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,17336.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,4,,False,9.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,True,a1_5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,12,117087,0.0-5.0-4.0-0.5,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,25676.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,5,,False,10.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,True,a1_6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,13,142762,0.0-5.0-4.0-0.6,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,25670.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,5,,False,11.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>",1.0,True,a1_7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,14,142765,0.0-5.0-5.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,15,180335,0.0-5.0-6.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,37567.0,,,,,,,,,,,,feedback_ADMC Framing A1,,,,,,,,,,,,,,,,,,Getting better at judging the thinking/answer time to the question difficulty. ,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,16,180338,0.0-5.0-7.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,17,180339,0.0-5.0-9.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,async_data_save,,ADMC Framing A1__completed,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,18,180495,0.0-7.0-1.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,19,188639,0.0-7.0-2.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,"[{'page_index': 0, 'viewing_time': 8143}]",8144.0,,,,,,,,,,,,admc_rc2_instructions,,,,,,,,,,,,,,,,,,,,False,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,20,188640,0.0-7.0-3.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,21,246011,0.0-7.0-4.0-0.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,57369.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,1,,False,14.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine a hospital is treating 32 injured soldiers, who are all expected to lose one leg. There are two doctors that can help the soldiers, but only one can be hired:</p>
                                <p style=""margin-left: 30px"">If Doctor A is hired, 12 soldiers will lose one leg.</p>
                                <p style=""margin-left: 30px"">If Doctor B is hired, there is a 63% chance that nobody loses a leg and a 37% chance that all lose a leg.</p>
                                <p>Which doctor do you recommend?</p>",1.0,True,rc2_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,22,274624,0.0-7.0-4.0-0.1,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,28607.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,3,,False,15.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimates of the consequences of the programs are as follows:</p>
                                <p style=""margin-left: 30px"">If Program A is adopted, 400 people will die.</p>
                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 33% chance that nobody will die, and a 67% chance that 600 people will die.</p>
                                <p>Which program do you recommend to use?</p>",1.0,True,rc2_2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,23,301414,0.0-7.0-4.0-0.2,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,26786.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,3,,False,16.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that your client has $6,000 invested in the stock market. A downturn in the economy is occurring. You have two investment strategies that you can recommend under the existing circumstances to preserve your client's capital.</p>
                                <p style=""margin-left: 30px"">If strategy A is followed, $4,000 of your client's investment will be lost.</p>
                                <p style=""margin-left: 30px"">If strategy B is followed, there is a 33% chance that the nothing will be lost, and a 67% chance that $6,000 will be lost.</p>
                                <p>Which of these two strategies would you favor?</p>",1.0,True,rc2_3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,24,319093,0.0-7.0-4.0-0.3,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,17674.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,3,,False,17.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Because of changes in tax laws, you may get back as much as $1200 in income tax. Your accountant has been exploring alternative ways to take advantage of this situation. He has developed two plans:</p>
                                <p style=""margin-left: 30px"">If Plan A is adopted, you will lose $800 of the possible $1200.</p>
                                <p style=""margin-left: 30px"">If Plan B is adopted, you have a 33% chance of losing none of the money, and a 67% chance of losing all $1200.</p>
                                <p>Which plan would you use?</p>",1.0,True,rc2_4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,25,366301,0.0-7.0-4.0-0.4,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,47203.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,6,,False,18.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that recent evidence has shown that a pesticide is threatening the lives of 1,200 endangered animals. Two response options have been suggested:</p>
                                <p style=""margin-left: 30px"">If Option A is used, 600 animals will be lost for sure.</p>
                                <p style=""margin-left: 30px"">If Option B is used, there is a 75% chance that 400 animals will be lost, and a 25% chance that 1,200 animals will be lost.</p>
                                <p>Which option do you recommend to use?</p>",1.0,True,rc2_5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,26,411099,0.0-7.0-4.0-0.5,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,44793.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,1,,False,19.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that your doctor tells you that you have a cancer that must be treated. Your choices are as follows:</p>
                                <p style=""margin-left: 30px"">Surgery: Of 100 people having surgery, 10 die because of the operation, and 66 die by the end of five years.</p>
                                <p style=""margin-left: 30px"">Radiation therapy: Of 100 people having radiation therapy, none die during the treatment, and 78 die by the end of five years.</p>
                                <p>Which treatment would you choose?</p>",1.0,True,rc2_6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,27,453177,0.0-7.0-4.0-0.6,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,42073.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,3,,False,20.0,,,,,,,,"<p><b>Problem</b></p>
                                <p>Imagine that in one particular state it is projected that 1000 students will drop out of school during the next year. Two programs have been proposed to address this problem, but only one can be implemented. Based on other states' experiences with the programs, estimates of the outcomes that can be expected from each program can be made. Assume for purposes of this decision that these estimates of the outcomes are accurate and are as follows:</p>
                                <p style=""margin-left: 30px"">If Program A is adopted, 600 of the 1000 students will drop out of school.</p>
                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 40% chance that none of the 1000 students will drop out of school and 60% chance that all 1000 students will drop out of school.</p>
                                <p>Which program would you favor for implementation?</p>",1.0,True,rc2_7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,28,453180,0.0-7.0-5.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,494548,0.0-7.0-6.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,41366.0,,,,,,,,,,,,feedback_ADMC Framing RC2,,,,,,,,,,,,,,,,,,No. ,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,30,494554,0.0-7.0-7.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,31,494557,0.0-7.0-9.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,async_data_save,,ADMC Framing RC2__completed,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,32,494561,0.0-9.0-0.0-0.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,33,494724,0.0-9.0-1.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,34,567992,0.0-9.0-2.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,"[{'page_index': 0, 'viewing_time': 62968}, {'page_index': 1, 'viewing_time': 10298}]",73267.0,,,,,,,,,,,,admc_dr_instructions,,,,,,,,,,,,,,,,,,,,False,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,35,568006,0.0-9.0-3.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-select,36,614021,0.0-9.0-4.0-0.0,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,46006.0,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,{'dr1': ['C']},[0],True,24.0,,,,,,,,,,,dr1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-select,37,660038,0.0-9.0-4.0-0.1,bCsHIncu9vWXiEw3HSG9,33ff78,5,UXBCxBzfBs7sxUfAJxjKunDhka,nHh936ryugGBsflsZOcCPIWd25,,,,46000.0,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,{'dr2': ['D']},[0],True,25.0,,,,,,,,,,,dr2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
