trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_graph_literacy,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_shipley_abstraction,task_admc_rc1,task_admc_a2,task_leapfrog,task_coherence_forecasting,task_impossible_question,task_admc_rp,task_shipley_vocab,task_bayesian_update_easy,task_bayesian_update_hard,response,custom_timer_ended_trial,interval_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,stimulus,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score,slider_start,slider_moved,admc_id,admc_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,moved_sliders,cfs_id,cfs_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,question_order,shipley_vocabulary_score,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
html-keyboard-response,2,3,0.0-2.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,5k8zNNuOqnNf6LGkyykvLxKbtl,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,38337,0.0-7.0-0.0-0.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,38488,0.0-7.0-1.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,38489,0.0-7.0-2.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,10,233829,0.0-7.0-3.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,195292.0,,,,,,,,,,,,gl_main_trial,,,,,,,,,,,,,,,,,,,"{'Q1': '30', 'Q2': '15', 'Q3': '25', 'Q4': '25', 'Q5': '20', 'Q6': '3', 'Q7': '25', 'Q8': '40', 'Q9': '20', 'Q10': '3', 'Q11': '2', 'Q12': '2', 'Q13': '5'}",False,60.0,30.0,15.0,25.0,25.0,20.0,3.0,25.0,40.0,20.0,3.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,11,233833,0.0-7.0-4.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,12,233834,0.0-7.0-5.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,13,233838,0.0-7.0-7.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,async_data_save,,Graph Literacy__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,14,233843,0.0-9.0-0.0-0.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,15,233994,0.0-9.0-1.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,16,322486,0.0-9.0-2.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,"[{'page_index': 0, 'viewing_time': 23115}, {'page_index': 1, 'viewing_time': 65373}]",88489.0,,,,,,,,,,,,dn_general_instructions,,,,,,,,,,,,,,,,,,,,False,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,17,322488,0.0-9.0-3.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,18,331636,0.0-9.0-4.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,"[{'page_index': 0, 'viewing_time': 9148}]",9148.0,,,,,,,,,,,,dn_pt_trials_instructions,,,,,,,,,,,,,,,,,,,,False,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,19,331937,0.0-9.0-5.0-0.0-0.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,20,341016,0.0-9.0-5.0-0.0-1.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,9076.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowleft,False,106.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,0.0,A,harmony,text,text,large,small,0.26,0.2,400.0,10.0,104.0,2.0,296.0,8.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,21,342018,0.0-9.0-5.0-0.0-2.0,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,22,342320,0.0-9.0-5.0-0.0-0.1,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,23,346354,0.0-9.0-5.0-0.0-1.1,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,4031.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowright,False,110.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,1.0,A,conflict,text,text,large,small,0.29,0.3,400.0,10.0,116.0,3.0,284.0,7.0,right,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,24,347354,0.0-9.0-5.0-0.0-2.1,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,25,347656,0.0-9.0-5.0-0.0-0.2,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,26,353560,0.0-9.0-5.0-0.0-1.2,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,5904.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowleft,False,114.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,2.0,A,conflict,array,text,small,large,0.1,0.09,10.0,400.0,1.0,36.0,9.0,364.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,27,354562,0.0-9.0-5.0-0.0-2.2,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,28,354862,0.0-9.0-5.0-0.0-0.3,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,29,363825,0.0-9.0-5.0-0.0-1.3,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,8962.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowright,False,117.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,3.0,A,harmony,array,text,large,small,0.14,0.1,400.0,10.0,56.0,1.0,344.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,30,364826,0.0-9.0-5.0-0.0-2.3,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,31,365126,0.0-9.0-5.0-0.0-0.4,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,32,369011,0.0-9.0-5.0-0.0-1.4,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,3882.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowleft,False,120.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,4.0,A,conflict,array,array,small,large,0.3,0.29,10.0,400.0,3.0,116.0,7.0,284.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,33,370011,0.0-9.0-5.0-0.0-2.4,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,34,370312,0.0-9.0-5.0-0.0-0.5,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,35,373844,0.0-9.0-5.0-0.0-1.5,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,3532.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowleft,False,123.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,5.0,A,harmony,text,array,large,small,0.17,0.1,400.0,10.0,68.0,1.0,332.0,9.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,36,374845,0.0-9.0-5.0-0.0-2.5,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,37,375145,0.0-9.0-5.0-0.0-0.6,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,38,379677,0.0-9.0-5.0-0.0-1.6,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,4531.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowleft,False,126.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,6.0,A,conflict,array,text,small,large,0.3,0.2799999999999999,10.0,400.0,3.0,112.0,7.0,288.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,39,380678,0.0-9.0-5.0-0.0-2.6,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,40,380978,0.0-9.0-5.0-0.0-0.7,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,41,384180,0.0-9.0-5.0-0.0-1.7,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,3201.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,arrowleft,False,129.0,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",True,0.0,7.0,A,conflict,text,array,small,large,0.1,0.09,10.0,400.0,1.0,36.0,9.0,364.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,42,385181,0.0-9.0-5.0-0.0-2.7,zKG5mSoyPstUeC99enq5,223301,3,JI0kypdQwT4vXupM8TZFF0byqQ,eaOEk3McF4IVo8kCi6u0Wsap5Z,1728.0,1001.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
