trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_graph_literacy,task_leapfrog,task_admc_a2,task_shipley_vocab,task_impossible_question,task_shipley_abstraction,task_coherence_forecasting,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc1,task_admc_rp,response,custom_timer_ended_trial,interval_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,stimulus,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,slider_start,slider_moved,admc_id,admc_response,question_order,shipley_vocabulary_score,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,shipley_abstraction_score,moved_sliders,cfs_id,cfs_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
html-keyboard-response,71,310984,0.0-9.0-5.0-2.0-1.4,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,72,311299,0.0-9.0-5.0-2.0-0.5,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,314.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,25.0,40.0,50.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,73,312301,0.0-9.0-5.0-2.0-1.5,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,74,313516,0.0-9.0-5.0-2.0-0.6,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,1213.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowright,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,26.0,60.0,50.0,50.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,75,314518,0.0-9.0-5.0-2.0-1.6,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>50</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,76,314948,0.0-9.0-5.0-2.0-0.7,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,429.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowright,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,27.0,60.0,50.0,50.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,77,315950,0.0-9.0-5.0-2.0-1.7,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>50</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,78,316908,0.0-9.0-5.0-2.0-0.8,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,957.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,28.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,79,317910,0.0-9.0-5.0-2.0-1.8,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,80,319179,0.0-9.0-5.0-2.0-0.9,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,1267.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,29.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,81,320181,0.0-9.0-5.0-2.0-1.9,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,82,320891,0.0-9.0-5.0-2.0-0.10,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,701.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,30.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,83,321893,0.0-9.0-5.0-2.0-1.10,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,84,322476,0.0-9.0-5.0-2.0-0.11,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,581.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,31.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,85,323477,0.0-9.0-5.0-2.0-1.11,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,86,323932,0.0-9.0-5.0-2.0-0.12,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,453.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,32.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,87,324934,0.0-9.0-5.0-2.0-1.12,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,88,325340,0.0-9.0-5.0-2.0-0.13,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,404.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,33.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,89,326342,0.0-9.0-5.0-2.0-1.13,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,90,326891,0.0-9.0-5.0-2.0-0.14,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,548.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,34.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,91,327894,0.0-9.0-5.0-2.0-1.14,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,92,328732,0.0-9.0-5.0-2.0-0.15,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,836.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,35.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,93,329734,0.0-9.0-5.0-2.0-1.15,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,94,330372,0.0-9.0-5.0-2.0-0.16,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,637.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,36.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,95,331385,0.0-9.0-5.0-2.0-1.16,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,96,332132,0.0-9.0-5.0-2.0-0.17,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,746.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,37.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,97,333133,0.0-9.0-5.0-2.0-1.17,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,98,333700,0.0-9.0-5.0-2.0-0.18,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,565.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,38.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,99,334702,0.0-9.0-5.0-2.0-1.18,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,100,335244,0.0-9.0-5.0-2.0-0.19,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,540.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>60 points</div>
                                <div>50 points</div>
                            </div>",True,1.0,39.0,60.0,50.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,101,336246,0.0-9.0-5.0-2.0-1.19,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,102,341115,0.0-9.0-5.0-3.0-0.0-0.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,4868.0,,,,,,,,,,,,leapfrog_pt_trial_interblock_question,,,,,,,,,,,,,,,,,,,{'prediction': '2'},False,144.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,103,343916,0.0-9.0-5.0-3.0-0.0-1.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,2794.0,,,,,,,,,,,,pt_trial_after_interblock,,,,,,,,,,,,,,,,,,, ,False,145.0,,,,,,,,,,,,,,"<p>You will now complete another 40 practice trials.</p>
                            <p>During these trials you will <b>NOT</b> be able to see the points of each option. You have to discover this on your own.</p>
                            <hr><p>Now, please <b>place your right hand on the left and right arrow keys</b>.</p>
                            <p><i>Press the <b>spacebar</b> with your left hand whenever you are ready to continue!</i></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,104,344732,0.0-9.0-5.0-4.0-0.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,814.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",True,2.0,40.0,60.0,70.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,105,345734,0.0-9.0-5.0-4.0-1.0,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,106,347083,0.0-9.0-5.0-4.0-0.1,JlC8vtBxKJRSYnZxy3cS,223301,5,SORtkRpZQTK7rcInjyvoWBXhb1,ULDcd6i5EE6JWXwwO0AGaAc4Ip,1920.0,1080.0,,1349.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,arrowright,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",True,2.0,41.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
