view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_cognitive_reflection,task_admc_dr,task_admc_rc2,task_number_series,task_time_series,task_admc_a1,task_raven_matrix,custom_timer_ended_trial,interval_id,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,admc_id,admc_response,slider_start,ns_id,ns_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,list_id
"[{'page_index': 0, 'viewing_time': 19320}]",19321.0,instructions,3,19327,0.0-3.0,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,eyVXUdhYd6VOrnZEWvJ72Pf47P,1777.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,19329,0.0-4.0,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,eyVXUdhYd6VOrnZEWvJ72Pf47P,1777.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,5,20316,0.0-5.0,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,eyVXUdhYd6VOrnZEWvJ72Pf47P,1777.0,1000.0,1777.0,821.0,True,chrome,123.0.0,False,Windows 10,True,61.11,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,23472,0.0-6.0,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,eyVXUdhYd6VOrnZEWvJ72Pf47P,1777.0,1000.0,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,7,23473,0.0-7.0,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,eyVXUdhYd6VOrnZEWvJ72Pf47P,1777.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,8,23474,0.0-8.0,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,eyVXUdhYd6VOrnZEWvJ72Pf47P,1777.0,1000.0,,,,,,,,,,,,async_data_save,,experiment__welcome,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,0,3,0.0-0.0,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
