trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_raven_matrix,task_admc_a1,task_admc_rc2,task_admc_dr,task_leapfrog,task_number_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_cognitive_reflection,task_bayesian_update_easy,task_bayesian_update_hard,task_time_series,custom_timer_ended_trial,interval_id,response,question_order,pt_trial,block,trial,list_id,stimulus,correct_answer,correct,slider_start,slider_moved,admc_id,admc_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,ns_id,ns_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,response_slider,id,question_text,answer_1,answer_2,aig_version,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,y_axis_values,chart_height,func,direction,noise_condition,datapoints
html-keyboard-response,2,10,0.0-2.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,x9bkDrvTOujWhVllD3JkCRT006,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,16268,0.0-7.0-0.0-0.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,16426,0.0-7.0-1.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,9,20419,0.0-7.0-2.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 3989}]",3989.0,,,,,,,,,,,,raven_matrix_instructions,,,,,,,,,,,,,,,,,,False,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,20421,0.0-7.0-3.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,11,22202,0.0-7.0-4.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 1781}]",1781.0,,,,,,,,,,,,raven_matrix_practice_trials_instructions,,,,,,,,,,,,,,,,,,False,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,12,31946,0.0-7.0-5.0-0.0-0.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,9729.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,51.0,1,[0],True,0.0,0.0,4.0,B1_4,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,13,38262,0.0-7.0-5.0-0.0-0.1,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,6299.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,52.0,7,[0],True,0.0,1.0,4.0,C2_4,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,14,48714,0.0-7.0-5.0-0.0-0.2,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,10433.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,53.0,2,[0],True,0.0,2.0,4.0,D3_4,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,15,57384,0.0-7.0-5.0-0.0-0.3,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,8651.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,54.0,3,[0],True,0.0,3.0,4.0,E4_4,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,16,62025,0.0-7.0-5.0-0.0-0.4,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,4633.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,55.0,5,[0],True,0.0,4.0,4.0,A1B5,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,17,66335,0.0-7.0-6.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 4288}]",4292.0,,,,,,,,,,,,raven_matrix_test_trials_instructions,,,,,,,,,,,,,,,,,,False,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,18,77092,0.0-7.0-7.0-0.0-0.0,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,10746.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,57.0,4,[0],False,0.0,0.0,18.0,A2_4,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,19,84089,0.0-7.0-7.0-0.0-0.1,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,6969.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,58.0,7,[0],False,0.0,1.0,18.0,B3_4,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,20,92607,0.0-7.0-7.0-0.0-0.2,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,8505.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,59.0,2,[0],False,0.0,2.0,18.0,C4_4,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,21,99452,0.0-7.0-7.0-0.0-0.3,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,6829.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,60.0,3,[0],False,0.0,3.0,18.0,D5_4,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,22,105922,0.0-7.0-7.0-0.0-0.4,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,6462.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,61.0,1,[0],False,0.0,4.0,18.0,E1_4,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,23,114786,0.0-7.0-7.0-0.0-0.5,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,8854.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,62.0,3,[0],False,0.0,5.0,18.0,B1E3,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,24,120741,0.0-7.0-7.0-0.0-0.6,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,5949.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,63.0,7,[0],False,0.0,6.0,18.0,C2D4,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,25,130104,0.0-7.0-7.0-0.0-0.7,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,9350.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,64.0,7,[0],False,0.0,7.0,18.0,C3E5,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,26,143561,0.0-7.0-7.0-0.0-0.8,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,13447.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,65.0,4,[0],False,0.0,8.0,18.0,D4E1,4.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,27,161369,0.0-7.0-7.0-0.0-0.9,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,17793.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,66.0,3,[0],False,0.0,9.0,18.0,A1C3,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,28,171902,0.0-7.0-7.0-0.0-0.10,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,10525.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,67.0,2,[0],False,0.0,10.0,18.0,A2D4,4.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,29,187851,0.0-7.0-7.0-0.0-0.11,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,15935.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,68.0,5,[0],False,0.0,11.0,18.0,A3E5,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,30,197002,0.0-7.0-7.0-0.0-0.12,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,9139.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,69.0,7,[0],False,0.0,12.0,18.0,B4C1,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,31,208858,0.0-7.0-7.0-0.0-0.13,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,11850.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,70.0,8,[0],False,0.0,13.0,18.0,B5D2,8.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,32,217350,0.0-7.0-7.0-0.0-0.14,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,8477.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,71.0,2,[0],False,0.0,14.0,18.0,X_18,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,33,236713,0.0-7.0-7.0-0.0-0.15,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,19355.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,72.0,8,[0],False,0.0,15.0,18.0,Y_18,8.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,34,250782,0.0-7.0-7.0-0.0-0.16,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,14061.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,73.0,2,[0],False,0.0,16.0,18.0,Z_18,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,35,262388,0.0-7.0-7.0-0.0-0.17,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,11589.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,74.0,2,[0],False,0.0,17.0,18.0,A4D1E2_2,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,36,275466,0.0-7.0-7.0-0.0-0.18,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,13059.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,75.0,5,[0],False,0.0,18.0,18.0,A2B3C1,4.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,37,286777,0.0-7.0-7.0-0.0-0.19,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,11302.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,76.0,5,[0],False,0.0,19.0,18.0,A1C4E2,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,38,304750,0.0-7.0-7.0-0.0-0.20,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,17965.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,77.0,5,[0],False,0.0,20.0,18.0,B2D5E1,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,39,322081,0.0-7.0-7.0-0.0-0.21,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,17312.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,78.0,2,[0],False,0.0,21.0,18.0,A2C1E3,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,40,342516,0.0-7.0-7.0-0.0-0.22,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,20420.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,79.0,5,[0],False,0.0,22.0,18.0,A3B5D1,4.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,41,353244,0.0-7.0-7.0-0.0-0.23,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,10711.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,80.0,3,[0],False,0.0,23.0,18.0,A3B2C4,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,42,366727,0.0-7.0-7.0-0.0-0.24,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,13471.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,81.0,2,[0],False,0.0,24.0,18.0,A3B1D5,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,43,386749,0.0-7.0-7.0-0.0-0.25,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,20012.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,82.0,7,[0],False,0.0,25.0,18.0,A4B2E3,7.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,44,411557,0.0-7.0-7.0-0.0-0.26,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,24801.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,83.0,4,[0],False,0.0,26.0,18.0,A1B4C5,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,45,434186,0.0-7.0-7.0-0.0-0.27,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,22618.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,84.0,1,[0],False,0.0,27.0,18.0,B5D3E2,5.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,46,447605,0.0-7.0-7.0-0.0-0.28,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,13410.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,85.0,2,[0],False,0.0,28.0,18.0,B5C1E4,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,47,458140,0.0-7.0-7.0-0.0-0.29,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,10527.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,86.0,2,[0],False,0.0,29.0,18.0,A1C3D4,7.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,48,470855,0.0-7.0-7.0-0.0-0.30,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,12700.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,87.0,3,[0],False,0.0,30.0,18.0,C3D2E5,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,49,491647,0.0-7.0-7.0-0.0-0.31,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,20779.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,88.0,8,[0],False,0.0,31.0,18.0,B1D4E3,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,50,505823,0.0-7.0-7.0-0.0-0.32,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,14167.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,89.0,1,[0],False,0.0,32.0,18.0,A3B5C4_5,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,51,514160,0.0-7.0-7.0-0.0-0.33,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,8329.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,90.0,8,[0],False,0.0,33.0,18.0,A4B3D5_5,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,52,531951,0.0-7.0-7.0-0.0-0.34,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,17785.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,91.0,6,[0],False,0.0,34.0,18.0,A4B5E3_5,4.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,53,553134,0.0-7.0-7.0-0.0-0.35,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,21172.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,92.0,1,[0],False,0.0,35.0,18.0,A3C4D5_5,3.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,54,576359,0.0-7.0-7.0-0.0-0.36,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,23216.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,93.0,6,[0],False,0.0,36.0,18.0,A3C5E4_5,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,55,586589,0.0-7.0-7.0-0.0-0.37,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,10220.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,94.0,1,[0],False,0.0,37.0,18.0,A4D3E5_5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,56,608957,0.0-7.0-7.0-0.0-0.38,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,22358.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,95.0,3,[0],False,0.0,38.0,18.0,B5C4D3_3,6.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,57,618533,0.0-7.0-7.0-0.0-0.39,9LHZO7LhTTmXrXAYaqib,33ff78,5,OEtwAC8oboYvBzIECqlDlNZJNp,5FMvP0dQQ8tjWZiH2ziR7KSdy8,1366.0,768.0,,9567.0,,,,,,,,,,,,raven_trial,,,,,,,,,,,,,,,,,,False,96.0,6,[0],False,0.0,39.0,18.0,B3C4E5_3,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
