trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a1,task_admc_rc2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_leapfrog,task_admc_dr,task_cognitive_reflection,task_time_series,task_impossible_question,task_raven_matrix,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,ns_id,ns_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,list_id
html-keyboard-response,2,23,0.0-2.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,rwajxdcxmbEGF0w5xAm1EzsRIb,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,79767,0.0-7.0-1.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,81179,0.0-7.0-2.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,"[{'page_index': 0, 'viewing_time': 1408}]",1409.0,,,,,,,,,,,,admc_a1_instructions,,,,,,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,81181,0.0-7.0-3.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,10,116733,0.0-7.0-4.0-0.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,35547.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,4.0,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,5,True,a1_1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,11,136194,0.0-7.0-4.0-0.1,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,19453.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,5.0,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,4,True,a1_2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,12,155236,0.0-7.0-4.0-0.2,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,19036.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,6.0,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,6,True,a1_3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,13,216244,0.0-7.0-4.0-0.3,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,60996.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,True,7.0,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,1,False,a1_4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,14,222456,0.0-7.0-4.0-0.4,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,6205.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,8.0,"<p><b>Problem</b></p>
                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,3,True,a1_5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,15,245082,0.0-7.0-4.0-0.5,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,22625.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,9.0,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,4,True,a1_6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,16,272233,0.0-7.0-4.0-0.6,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,27142.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,10.0,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>",1.0,4,True,a1_7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,17,272236,0.0-7.0-5.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,18,286167,0.0-7.0-6.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,13928.0,,,,,,,,,,,,feedback_ADMC Framing A1,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,timing is a bit of a hassle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,19,286172,0.0-7.0-7.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,20,286174,0.0-7.0-9.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,async_data_save,,ADMC Framing A1__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,21,286330,0.0-9.0-1.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,22,307442,0.0-9.0-2.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,"[{'page_index': 0, 'viewing_time': 21109}]",21110.0,,,,,,,,,,,,admc_rc2_instructions,,,,,,,,,,,,,,,,,,False,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,23,307443,0.0-9.0-3.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,24,322210,0.0-9.0-4.0-0.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,14762.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,13.0,"<p><b>Problem</b></p>
                                <p>Imagine a hospital is treating 32 injured soldiers, who are all expected to lose one leg. There are two doctors that can help the soldiers, but only one can be hired:</p>
                                <p style=""margin-left: 30px"">If Doctor A is hired, 12 soldiers will lose one leg.</p>
                                <p style=""margin-left: 30px"">If Doctor B is hired, there is a 63% chance that nobody loses a leg and a 37% chance that all lose a leg.</p>
                                <p>Which doctor do you recommend?</p>",1.0,3,True,rc2_1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,25,367142,0.0-9.0-4.0-0.1,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,44934.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,14.0,"<p><b>Problem</b></p>
                                <p>Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimates of the consequences of the programs are as follows:</p>
                                <p style=""margin-left: 30px"">If Program A is adopted, 400 people will die.</p>
                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 33% chance that nobody will die, and a 67% chance that 600 people will die.</p>
                                <p>Which program do you recommend to use?</p>",1.0,2,True,rc2_2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,26,379492,0.0-9.0-4.0-0.2,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,12344.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,15.0,"<p><b>Problem</b></p>
                                <p>Imagine that your client has $6,000 invested in the stock market. A downturn in the economy is occurring. You have two investment strategies that you can recommend under the existing circumstances to preserve your client's capital.</p>
                                <p style=""margin-left: 30px"">If strategy A is followed, $4,000 of your client's investment will be lost.</p>
                                <p style=""margin-left: 30px"">If strategy B is followed, there is a 33% chance that the nothing will be lost, and a 67% chance that $6,000 will be lost.</p>
                                <p>Which of these two strategies would you favor?</p>",1.0,3,True,rc2_3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,27,423021,0.0-9.0-4.0-0.3,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,43524.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,16.0,"<p><b>Problem</b></p>
                                <p>Because of changes in tax laws, you may get back as much as $1200 in income tax. Your accountant has been exploring alternative ways to take advantage of this situation. He has developed two plans:</p>
                                <p style=""margin-left: 30px"">If Plan A is adopted, you will lose $800 of the possible $1200.</p>
                                <p style=""margin-left: 30px"">If Plan B is adopted, you have a 33% chance of losing none of the money, and a 67% chance of losing all $1200.</p>
                                <p>Which plan would you use?</p>",1.0,2,True,rc2_4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,28,435671,0.0-9.0-4.0-0.4,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,12638.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,17.0,"<p><b>Problem</b></p>
                                <p>Imagine that recent evidence has shown that a pesticide is threatening the lives of 1,200 endangered animals. Two response options have been suggested:</p>
                                <p style=""margin-left: 30px"">If Option A is used, 600 animals will be lost for sure.</p>
                                <p style=""margin-left: 30px"">If Option B is used, there is a 75% chance that 400 animals will be lost, and a 25% chance that 1,200 animals will be lost.</p>
                                <p>Which option do you recommend to use?</p>",1.0,4,True,rc2_5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,29,472342,0.0-9.0-4.0-0.5,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,36665.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,18.0,"<p><b>Problem</b></p>
                                <p>Imagine that your doctor tells you that you have a cancer that must be treated. Your choices are as follows:</p>
                                <p style=""margin-left: 30px"">Surgery: Of 100 people having surgery, 10 die because of the operation, and 66 die by the end of five years.</p>
                                <p style=""margin-left: 30px"">Radiation therapy: Of 100 people having radiation therapy, none die during the treatment, and 78 die by the end of five years.</p>
                                <p>Which treatment would you choose?</p>",1.0,3,True,rc2_6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,30,491647,0.0-9.0-4.0-0.6,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,19299.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,19.0,"<p><b>Problem</b></p>
                                <p>Imagine that in one particular state it is projected that 1000 students will drop out of school during the next year. Two programs have been proposed to address this problem, but only one can be implemented. Based on other states' experiences with the programs, estimates of the outcomes that can be expected from each program can be made. Assume for purposes of this decision that these estimates of the outcomes are accurate and are as follows:</p>
                                <p style=""margin-left: 30px"">If Program A is adopted, 600 of the 1000 students will drop out of school.</p>
                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 40% chance that none of the 1000 students will drop out of school and 60% chance that all 1000 students will drop out of school.</p>
                                <p>Which program would you favor for implementation?</p>",1.0,3,True,rc2_7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,31,491652,0.0-9.0-5.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,32,494097,0.0-9.0-6.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,2443.0,,,,,,,,,,,,feedback_ADMC Framing RC2,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,33,494098,0.0-9.0-7.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,34,494100,0.0-9.0-9.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,async_data_save,,ADMC Framing RC2__completed,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,35,494102,0.0-11.0-0.0-0.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,36,494254,0.0-11.0-1.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,37,615257,0.0-11.0-2.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,dn_general_instructions,,,,,,,,,,,,,,,,,,True,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,38,615298,0.0-11.0-3.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,39,638784,0.0-11.0-4.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,"[{'page_index': 0, 'viewing_time': 23484}]",23484.0,,,,,,,,,,,,dn_pt_trials_instructions,,,,,,,,,,,,,,,,,,False,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,40,639089,0.0-11.0-5.0-0.0-0.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,41,641524,0.0-11.0-5.0-0.0-1.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,2432.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,25.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,True,0.0,0.0,A,conflict,text,text,large,small,0.18,0.2,400.0,10.0,72.0,2.0,328.0,8.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,42,642528,0.0-11.0-5.0-0.0-2.0,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,43,642830,0.0-11.0-5.0-0.0-0.1,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,44,645060,0.0-11.0-5.0-0.0-1.1,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,2228.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,28.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,True,0.0,1.0,A,conflict,text,array,large,small,0.04,0.1,400.0,10.0,16.0,1.0,384.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,45,646063,0.0-11.0-5.0-0.0-2.1,2QJZGGcIQF8A5FhBmyuz,33ff78,5,bfK66fgIu0AW5EyjGmZeFHHAn4,SH4ucuk9Sa1vLyBmYYDQrVrxHq,1536.0,864.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
