trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_leapfrog,task_admc_dr,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_raven_matrix,task_admc_rc2,task_cognitive_reflection,task_time_series,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_a1,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,ns_id,ns_response,list_id,correct_answer,correct,slider_start,slider_moved,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
html-keyboard-response,260,511388,0.0-7.0-8.0-1.0-0.0,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,284.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,40.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,261,512391,0.0-7.0-8.0-1.0-1.0,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,262,512682,0.0-7.0-8.0-1.0-0.1,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,291.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,41.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,263,513685,0.0-7.0-8.0-1.0-1.1,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,264,515187,0.0-7.0-8.0-1.0-0.2,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,False,1.0,42.0,70.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,265,516189,0.0-7.0-8.0-1.0-1.2,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: red;"">X<br><br>TOO SLOW</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,266,516596,0.0-7.0-8.0-1.0-0.3,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,406.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,43.0,70.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,267,517598,0.0-7.0-8.0-1.0-1.3,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,268,517877,0.0-7.0-8.0-1.0-0.4,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,278.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,44.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,269,518879,0.0-7.0-8.0-1.0-1.4,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,270,518970,0.0-7.0-8.0-1.0-0.5,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,83.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,45.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,271,519971,0.0-7.0-8.0-1.0-1.5,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,272,520113,0.0-7.0-8.0-1.0-0.6,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,141.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,46.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,273,521115,0.0-7.0-8.0-1.0-1.6,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,274,521302,0.0-7.0-8.0-1.0-0.7,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,186.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,47.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,275,522304,0.0-7.0-8.0-1.0-1.7,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,276,522431,0.0-7.0-8.0-1.0-0.8,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,126.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,48.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,277,523433,0.0-7.0-8.0-1.0-1.8,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,278,523916,0.0-7.0-8.0-1.0-0.9,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,482.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,49.0,70.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,279,524918,0.0-7.0-8.0-1.0-1.9,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,280,525533,0.0-7.0-8.0-1.0-0.10,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,614.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,50.0,70.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,281,526535,0.0-7.0-8.0-1.0-1.10,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,282,526820,0.0-7.0-8.0-1.0-0.11,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,285.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,51.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,283,527822,0.0-7.0-8.0-1.0-1.11,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,284,528077,0.0-7.0-8.0-1.0-0.12,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,254.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,52.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,285,529080,0.0-7.0-8.0-1.0-1.12,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,286,529355,0.0-7.0-8.0-1.0-0.13,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,266.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,53.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,287,530357,0.0-7.0-8.0-1.0-1.13,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,288,530607,0.0-7.0-8.0-1.0-0.14,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,249.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,54.0,70.0,80.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,289,531610,0.0-7.0-8.0-1.0-1.14,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,290,531890,0.0-7.0-8.0-1.0-0.15,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,279.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,55.0,70.0,80.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,291,532892,0.0-7.0-8.0-1.0-1.15,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,292,533162,0.0-7.0-8.0-1.0-0.16,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,269.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,56.0,70.0,80.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,293,534164,0.0-7.0-8.0-1.0-1.16,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,294,534428,0.0-7.0-8.0-1.0-0.17,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,263.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,57.0,90.0,80.0,90.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,295,535430,0.0-7.0-8.0-1.0-1.17,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,296,535742,0.0-7.0-8.0-1.0-0.18,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,311.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,58.0,90.0,80.0,90.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,297,536744,0.0-7.0-8.0-1.0-1.18,za6MrfAimgv3r4mlD3GD,33ff78,5,pvqx3drCURBzX2IxBu4sbP2sO9,CzQ4ikm0Ny0ZkREazadm2Uxkbt,1280.0,800.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
