trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_graph_literacy,task_admc_rc1,task_admc_a2,task_impossible_question,task_shipley_abstraction,task_time_series,task_shipley_vocab,task_leapfrog,task_coherence_forecasting,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rp,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,question_order,shipley_vocabulary_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,moved_sliders,cfs_id,cfs_response,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
html-keyboard-response,226,421930,0.0-9.0-7.0-0.0-2.3,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,227,422232,0.0-9.0-7.0-0.0-0.4,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,228,422839,0.0-9.0-7.0-0.0-1.4,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,606.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,340.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,4.0,B,conflict,both,both,small,large,0.1,0.09,10.0,400.0,1.0,36.0,9.0,364.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,229,423841,0.0-9.0-7.0-0.0-2.4,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,230,424143,0.0-9.0-7.0-0.0-0.5,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,231,424407,0.0-9.0-7.0-0.0-1.5,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,264.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,343.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,5.0,B,harmony,both,both,large,small,0.31,0.3,400.0,10.0,124.0,3.0,276.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,232,425408,0.0-9.0-7.0-0.0-2.5,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,233,425710,0.0-9.0-7.0-0.0-0.6,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,234,425845,0.0-9.0-7.0-0.0-1.6,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,135.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,346.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,6.0,B,harmony,both,both,small,large,0.3,0.3399999999999999,10.0,400.0,3.0,136.0,7.0,264.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,235,426847,0.0-9.0-7.0-0.0-2.6,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,236,427150,0.0-9.0-7.0-0.0-0.7,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,237,427421,0.0-9.0-7.0-0.0-1.7,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,269.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,354.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,7.0,B,harmony,both,both,large,small,0.13,0.1,400.0,10.0,52.0,1.0,348.0,9.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,238,428422,0.0-9.0-7.0-0.0-2.7,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,239,428723,0.0-9.0-7.0-0.0-0.8,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,240,428981,0.0-9.0-7.0-0.0-1.8,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,256.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,357.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,8.0,B,harmony,both,both,small,large,0.2,0.26,10.0,400.0,2.0,104.0,8.0,296.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,241,429982,0.0-9.0-7.0-0.0-2.8,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,242,430284,0.0-9.0-7.0-0.0-0.9,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,243,430560,0.0-9.0-7.0-0.0-1.9,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,276.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,365.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,9.0,B,conflict,both,both,small,large,0.3,0.2799999999999999,10.0,400.0,3.0,112.0,7.0,288.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,244,431562,0.0-9.0-7.0-0.0-2.9,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,245,431868,0.0-9.0-7.0-0.0-0.10,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,246,432169,0.0-9.0-7.0-0.0-1.10,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,300.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,373.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,10.0,B,harmony,both,both,large,small,0.38,0.3,400.0,10.0,152.0,3.0,248.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,247,433170,0.0-9.0-7.0-0.0-2.10,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,248,433471,0.0-9.0-7.0-0.0-0.11,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,249,433696,0.0-9.0-7.0-0.0-1.11,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,224.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,376.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,11.0,B,conflict,both,both,large,small,0.04,0.1,400.0,10.0,16.0,1.0,384.0,9.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,250,434696,0.0-9.0-7.0-0.0-2.11,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,251,434998,0.0-9.0-7.0-0.0-0.12,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,252,435219,0.0-9.0-7.0-0.0-1.12,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,219.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,379.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,12.0,B,harmony,both,both,large,small,0.37,0.3,400.0,10.0,148.0,3.0,252.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,253,436220,0.0-9.0-7.0-0.0-2.12,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,254,436523,0.0-9.0-7.0-0.0-0.13,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,255,436802,0.0-9.0-7.0-0.0-1.13,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,278.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,382.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,False,0.0,13.0,B,conflict,both,both,large,small,0.08,0.1,400.0,10.0,32.0,1.0,368.0,9.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,256,437804,0.0-9.0-7.0-0.0-2.13,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,257,438105,0.0-9.0-7.0-0.0-0.14,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
