trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_dr,task_admc_a1,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,response,question_order,admc_id,admc_response,stimulus,slider_start,slider_moved
call-function,0,17,0.0-0.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,1,18,0.0-1.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,session_parameters,"{'INSTRUCTIONS_ONLY': False, 'IGNORE_VALIDATION': False, 'SKIP_INTRO_TRIALS': False, 'TEST_EXCLUSION_CRITERIA': False, 'SIMULATE': False, 'SIMULATE_TRIAL_DURATION': 250}","{'SHOW_TASK': True, 'TASK_ORDER_INDEX': 12, 'DR_ITEMS': [{'id': 'dr1', 'correct_answers': ['C'], 'table_numbers': [[5, 4, 2, 1], [5, 5, 3, 3], [5, 2, 4, 4], [1, 5, 5, 3], [4, 5, 1, 1]], 'problem_description': 'Brian selects the TV with the highest number of ratings greater than ""Medium"".', 'question': 'Which <b><u>one</u></b> of the presented TVs would Brian prefer?'}, {'id': 'dr2', 'correct_answers': ['D'], 'table_numbers': [[2, 5, 5, 5], [5, 4, 4, 5], [5, 3, 2, 5], [3, 5, 2, 2], [4, 4, 4, 5]], 'problem_description': 'Sally first selects the TVs with the best Sound Quality. From the selected TVs, she then selects the best on Picture Quality. Then, if there is still more than one left to choose from, she selects the one best on Programming Options.', 'question': 'Which <b><u>one</u></b> of the presented TVs would Sally prefer?'}, {'id': 'dr3', 'correct_answers': ['C'], 'table_numbers': [[3, 1, 2, 5], [5, 5, 3, 2], [4, 3, 3, 3], [5, 5, 5, 4], [2, 5, 4, 4]], 'problem_description': 'Pat doesn\'t want to read through the entire table. He decides to read the table row by row until he finds the very first TV that has no ratings below ""Medium."" He will just choose that TV.', 'question': 'Which <b><u>one</u></b> of the presented TVs would Pat prefer?'}, {'id': 'dr4', 'correct_answers': ['None'], 'table_numbers': [[3, 5, 5, 1], [1, 2, 1, 2], [5, 5, 4, 4], [5, 3, 4, 2], [4, 5, 2, 2]], 'problem_description': 'LaToya only wants a TV that got a ""Very High"" rating on Reliability of Brand.', 'question': 'Which <b><u>one</u></b> of the presented TVs would LaToya prefer?'}, {'id': 'dr5', 'correct_answers': ['A'], 'table_numbers': [[5, 5, 5, 3], [3, 5, 4, 5], [5, 2, 2, 4], [5, 1, 2, 5], [4, 2, 4, 5]], 'problem_description': 'From the TVs with the best available Picture Quality, Tricia selects the TVs with the lowest number of ratings below ""Medium."" If there is more than one TV left to choose from, she then picks the one that has the best rating on ""Reliability of Brand.""', 'question': 'Which <b><u>one</u></b> of the presented TVs would Tricia prefer?'}, {'id': 'dr6', 'correct_answers': ['E'], 'table_numbers': [[3, 1, 5, 2], [1, 2, 1, 2], [5, 4, 3, 1], [4, 2, 3, 3], [4, 4, 2, 4]], 'problem_description': 'Lisa wants the TV with the highest average rating across features.', 'question': 'Which <b><u>one</u></b> of the presented TVs would Lisa prefer?'}, {'id': 'dr7', 'correct_answers': ['E'], 'table_numbers': [[5, 3, 5, 5], [2, 5, 4, 1], [4, 5, 2, 3], [3, 5, 3, 1], [3, 5, 3, 4]], 'problem_description': 'Andy wants the TV with the highest average rating he can get while still making sure to keep the best rating on Sound Quality.', 'question': 'Which <b><u>one</u></b> of the presented TVs would Andy prefer?'}, {'id': 'dr8', 'correct_answers': ['A', 'C'], 'table_numbers': [[5, 4, 5, 3], [5, 4, 1, 2], [3, 3, 5, 5], [5, 5, 1, 2], [3, 5, 1, 3]], 'problem_description': 'Shane wants no TVs that score below ""Medium"" on Picture Quality, no TVs that score below ""Medium"" on Sound Quality, and no TVs that score ""Very Low"" on any other feature.', 'question': 'Which <b><u>two</u></b> of the presented TVs would Shane prefer?'}, {'id': 'dr9', 'correct_answers': ['A', 'D', 'E'], 'table_numbers': [[2, 1, 5, 2], [1, 5, 4, 2], [5, 3, 1, 1], [5, 4, 5, 4], [3, 3, 3, 3]], 'problem_description': 'Tyrone wants a TV that either has a ""Very High"" rating for Programming Options, or one that scores at least “Medium"" on every feature.', 'question': 'Which <b><u>three</u></b> of the presented TVs would Tyrone prefer?'}, {'id': 'dr10', 'correct_answers': ['C', 'D', 'E'], 'table_numbers': [[2, 1, 5, 4], [4, 5, 1, 3], [1, 3, 5, 5], [4, 2, 5, 4], [5, 5, 1, 3]], 'problem_description': ""Julie wants the best Reliability of Brand, but is willing to give up one point on Reliability of Brand for each increase of at least two points in the rating of Picture Quality. She isn't concerned about the other features."", 'question': 'Which <b><u>three</u></b> of the presented TVs would Julie prefer?'}]}","{'SHOW_TASK': True, 'TASK_ORDER_INDEX': 13, 'RESISTANCE_TO_FRAMING_ITEMS': [{'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that recent evidence has shown that a pesticide is threatening the lives of 1,200 endangered animals. Two response options have been suggested:</p>\n                                <p style=""margin-left: 30px"">If Option A is used, 600 animals will be saved for sure.</p>\n                                <p style=""margin-left: 30px"">If Option B is used, there is a 75% chance that 800 animals will be saved, and a 25% chance that no animals will be saved.</p>\n                                <p>Which option do you recommend to use?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc1_1'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Because of changes in tax laws, you may get back as much as $1200 in income tax. Your accountant has been exploring alternative ways to take advantage of this situation. He has developed two plans:</p>\n                                <p style=""margin-left: 30px"">If Plan A is adopted, you will get back $400 of the possible $1200.</p>\n                                <p style=""margin-left: 30px"">If Plan B is adopted, you have a 33% chance of getting back all $1200, and a 67% chance of getting back no money.</p>\n                                <p>Which plan would you use?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc1_2'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that in one particular state it is projected that 1000 students will drop out of school during the next year. Two programs have been proposed to address this problem, but only one can be implemented. Based on other states\' experiences with the programs, estimates of the outcomes that can be expected from each program can be made. Assume for purposes of this decision that these estimates of the outcomes are accurate and are as follows:</p>\n                                <p style=""margin-left: 30px"">If Program A is adopted, 400 of the 1000 students will stay in school.</p>\n                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 40% chance that all 1000 students will stay in school and 60% chance that none of the 1000 students will stay in school.</p>\n                                <p>Which program would you favor for implementation?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc1_3'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimates of the consequences of the programs are as follows:</p>\n                                <p style=""margin-left: 30px"">If Program A is adopted, 200 people will be saved.</p>\n                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 33% chance that 600 people will be saved, and a 67% chance that no people will be saved.</p>\n                                <p>Which program do you recommend to use?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc1_4'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that your doctor tells you that you have a cancer that must be treated. Your choices are as follows:</p>\n                                <p style=""margin-left: 30px"">Surgery: Of 100 people having surgery, 90 live through the operation, and 34 are alive at the end of five years.</p>\n                                <p style=""margin-left: 30px"">Radiation therapy: Of 100 people having radiation therapy, all live through the treatment, and 22 are alive at the end of five years.</p>\n                                <p>Which treatment would you choose?</p>', 'label_min': 'Definitely would choose surgery', 'label_max': 'Definitely would choose radiation', 'id': 'rc1_5'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that your client has $6,000 invested in the stock market. A downturn in the economy is occurring. You have two investment strategies that you can recommend under the existing circumstances to preserve your client\'s capital.</p>\n                                <p style=""margin-left: 30px"">If strategy A is followed, $2,000 of your client\'s investment will be saved.</p>\n                                <p style=""margin-left: 30px"">If strategy B is followed, there is a 33% chance that the entire $6,000 will be saved, and a 67% chance that none of the principal will be saved.</p>\n                                <p>Which of these two strategies would you favor?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc1_6'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine a hospital is treating 32 injured soldiers, who are all expected to lose one leg. There are two doctors that can help the soldiers, but only one can be hired:</p>\n                                <p style=""margin-left: 30px"">If Doctor A is hired, 20 soldiers will keep both legs.</p>\n                                <p style=""margin-left: 30px"">If Doctor B is hired, there is a 63% chance that all soldiers keep both legs and a 37% chance that nobody will save both legs.</p>\n                                <p>Which doctor do you recommend?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc1_7'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>\n                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>', 'label_min': 'Definitely no', 'label_max': 'Definitely yes', 'id': 'a1_1'}, {'stimulus_html': ""<p><b>Problem</b></p>\n                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>\n                                <p>What's your evaluation of the quality of this ground beef?</p>"", 'label_min': 'Very low', 'label_max': 'Very high', 'id': 'a1_2'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>\n                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>', 'label_min': 'Very low', 'label_max': 'Very high', 'id': 'a1_3'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>\n                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>\n                                <p>What is the likelihood you would fund the request?</p>', 'label_min': 'Very unlikely', 'label_max': 'Very likely', 'id': 'a1_4'}, {'stimulus_html': ""<p><b>Problem</b></p>\n                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>"", 'label_min': 'Very poor', 'label_max': 'Very good', 'id': 'a1_5'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>\n                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>', 'label_min': 'Minimum fine', 'label_max': 'Maximum fine', 'id': 'a1_6'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>\n                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>', 'label_min': 'Definitely no', 'label_max': 'Definitely yes', 'id': 'a1_7'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine a hospital is treating 32 injured soldiers, who are all expected to lose one leg. There are two doctors that can help the soldiers, but only one can be hired:</p>\n                                <p style=""margin-left: 30px"">If Doctor A is hired, 12 soldiers will lose one leg.</p>\n                                <p style=""margin-left: 30px"">If Doctor B is hired, there is a 63% chance that nobody loses a leg and a 37% chance that all lose a leg.</p>\n                                <p>Which doctor do you recommend?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc2_1'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimates of the consequences of the programs are as follows:</p>\n                                <p style=""margin-left: 30px"">If Program A is adopted, 400 people will die.</p>\n                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 33% chance that nobody will die, and a 67% chance that 600 people will die.</p>\n                                <p>Which program do you recommend to use?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc2_2'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that your client has $6,000 invested in the stock market. A downturn in the economy is occurring. You have two investment strategies that you can recommend under the existing circumstances to preserve your client\'s capital.</p>\n                                <p style=""margin-left: 30px"">If strategy A is followed, $4,000 of your client\'s investment will be lost.</p>\n                                <p style=""margin-left: 30px"">If strategy B is followed, there is a 33% chance that the nothing will be lost, and a 67% chance that $6,000 will be lost.</p>\n                                <p>Which of these two strategies would you favor?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc2_3'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Because of changes in tax laws, you may get back as much as $1200 in income tax. Your accountant has been exploring alternative ways to take advantage of this situation. He has developed two plans:</p>\n                                <p style=""margin-left: 30px"">If Plan A is adopted, you will lose $800 of the possible $1200.</p>\n                                <p style=""margin-left: 30px"">If Plan B is adopted, you have a 33% chance of losing none of the money, and a 67% chance of losing all $1200.</p>\n                                <p>Which plan would you use?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc2_4'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that recent evidence has shown that a pesticide is threatening the lives of 1,200 endangered animals. Two response options have been suggested:</p>\n                                <p style=""margin-left: 30px"">If Option A is used, 600 animals will be lost for sure.</p>\n                                <p style=""margin-left: 30px"">If Option B is used, there is a 75% chance that 400 animals will be lost, and a 25% chance that 1,200 animals will be lost.</p>\n                                <p>Which option do you recommend to use?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc2_5'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that your doctor tells you that you have a cancer that must be treated. Your choices are as follows:</p>\n                                <p style=""margin-left: 30px"">Surgery: Of 100 people having surgery, 10 die because of the operation, and 66 die by the end of five years.</p>\n                                <p style=""margin-left: 30px"">Radiation therapy: Of 100 people having radiation therapy, none die during the treatment, and 78 die by the end of five years.</p>\n                                <p>Which treatment would you choose?</p>', 'label_min': 'Definitely would choose surgery', 'label_max': 'Definitely would choose radiation', 'id': 'rc2_6'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that in one particular state it is projected that 1000 students will drop out of school during the next year. Two programs have been proposed to address this problem, but only one can be implemented. Based on other states\' experiences with the programs, estimates of the outcomes that can be expected from each program can be made. Assume for purposes of this decision that these estimates of the outcomes are accurate and are as follows:</p>\n                                <p style=""margin-left: 30px"">If Program A is adopted, 600 of the 1000 students will drop out of school.</p>\n                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 40% chance that none of the 1000 students will drop out of school and 60% chance that all 1000 students will drop out of school.</p>\n                                <p>Which program would you favor for implementation?</p>', 'label_min': 'Definitely would choose A', 'label_max': 'Definitely would choose B', 'id': 'rc2_7'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>\n                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 20 of the last 50 have been unsuccessful.</p>\n                                <p>What is the likelihood you would fund the request?</p>', 'label_min': 'Very unlikely', 'label_max': 'Very likely', 'id': 'a2_1'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is an 80% chance that she knew she parked illegally</p>\n                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>', 'label_min': 'Minimum fine', 'label_max': 'Maximum fine', 'id': 'a2_2'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>In a recent confidential survey completed by graduating seniors, 65% of those completing the survey stated that they had cheated during their college career.</p>\n                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>', 'label_min': 'Very low', 'label_max': 'Very high', 'id': 'a2_3'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of failure, and is available at the local hospital.</p>\n                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. How likely are you to encourage him or her to undergo treatment using this technique?</p>', 'label_min': 'Definitely no', 'label_max': 'Definitely yes', 'id': 'a2_4'}, {'stimulus_html': ""<p><b>Problem</b></p>\n                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 20% fat ground beef.</p>\n                                <p>What's your evaluation of the quality of this ground beef?</p>"", 'label_min': 'Very low', 'label_max': 'Very high', 'id': 'a2_5'}, {'stimulus_html': '<p><b>Problem</b></p>\n                                <p>Imagine that a type of condom has a 5% failure rate. That is, if you have sex with someone who has the AIDS virus, there is a 5% chance that this type of condom will fail to prevent you from being exposed to the AIDS virus.</p>\n                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>', 'label_min': 'Definitely no', 'label_max': 'Definitely yes', 'id': 'a2_6'}, {'stimulus_html': ""<p><b>Problem</b></p>\n                                <p>Suppose a student got 10% incorrect in the mid-term exam and 30% incorrect in the final-term exam, what would be your evaluations of this student's performance?</p>"", 'label_min': 'Very poor', 'label_max': 'Very good', 'id': 'a2_7'}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,2,18,0.0-2.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,async_data_save,,,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,3,1883,0.0-3.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,,,,,,,"[{'page_index': 0, 'viewing_time': 1863}]",1863.0,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
call-function,4,1884,0.0-4.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
browser-check,5,2681,0.0-5.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,browser_check,,,,,,,,1306.0,1080.0,1306.0,927.0,True,firefox,124.0.0,False,Windows 10,True,75.76,False,False,,,,,,,,,,
fullscreen,6,4534,0.0-6.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,fullscreen,,,,,,,,1306.0,1080.0,,,,,,,,,,,,True,,,,,,,,,
call-function,7,4536,0.0-7.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,8,4536,0.0-8.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,async_data_save,,,,experiment__welcome,1.0,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,9,4538,0.0-9.0-0.0-0.0,L6vGMED9U9T9pjpktVXS,all,,v1r7JeMlFucCFh33SSzmeygr0i,mmeitPeGsPpz6lUp2TQe5VDtUG,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
