trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc1,task_admc_a2,task_shipley_abstraction,task_shipley_vocab,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,task_time_series,task_graph_literacy,task_coherence_forecasting,task_admc_rp,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,shipley_abstraction_score,question_order,shipley_vocabulary_score,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,y_axis_values,chart_height,func,direction,noise_condition,datapoints,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,moved_sliders,cfs_id,cfs_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
instructions,35,635018,0.0-11.0-2.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 12939}]",12939.0,,,,,,,,,,,,shipley_abstraction_instructions,,,,,,,,,,,,,,,,,,,False,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,36,635019,0.0-11.0-3.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,37,1356025,0.0-11.0-4.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,721002.0,,,,,,,,,,,,shipley_abstraction_test_trial,,,,,,,,,,,,,,,,,,,True,24.0,,,"{'shipley_abstraction_1_0': '6', 'shipley_abstraction_2_0': 'u', 'shipley_abstraction_2_1': 'p', 'shipley_abstraction_3_0': 'E', 'shipley_abstraction_4_0': '3', 'shipley_abstraction_5_0': 'W', 'shipley_abstraction_6_0': 'd', 'shipley_abstraction_6_1': 'o', 'shipley_abstraction_6_2': 'o', 'shipley_abstraction_6_3': 'm', 'shipley_abstraction_7_0': 'a', 'shipley_abstraction_7_1': 'p', 'shipley_abstraction_7_2': 'e', 'shipley_abstraction_8_0': 'o', 'shipley_abstraction_8_1': 'n', 'shipley_abstraction_9_0': 'S', 'shipley_abstraction_10_0': '5', 'shipley_abstraction_10_1': '4', 'shipley_abstraction_11_0': 'a', 'shipley_abstraction_11_1': 't', 'shipley_abstraction_12_0': '6', 'shipley_abstraction_12_1': '5', 'shipley_abstraction_12_2': '7', 'shipley_abstraction_12_3': '3', 'shipley_abstraction_12_4': '2', 'shipley_abstraction_13_0': 'g', 'shipley_abstraction_13_1': 'o', 'shipley_abstraction_13_2': 'a', 'shipley_abstraction_13_3': 't', 'shipley_abstraction_14_0': '10', 'shipley_abstraction_15_0': 'h', 'shipley_abstraction_15_1': 'i', 'shipley_abstraction_15_2': 't', 'shipley_abstraction_16_0': '', 'shipley_abstraction_16_1': '', 'shipley_abstraction_17_0': '', 'shipley_abstraction_17_1': '', 'shipley_abstraction_17_2': '', 'shipley_abstraction_17_3': '', 'shipley_abstraction_17_4': '', 'shipley_abstraction_18_0': '', 'shipley_abstraction_19_0': '', 'shipley_abstraction_20_0': '', 'shipley_abstraction_21_0': '', 'shipley_abstraction_22_0': '', 'shipley_abstraction_22_1': '', 'shipley_abstraction_23_0': ' c', 'shipley_abstraction_23_1': 'r', 'shipley_abstraction_23_2': 'e', 'shipley_abstraction_23_3': 'd', 'shipley_abstraction_23_4': 'i', 'shipley_abstraction_23_5': 't', 'shipley_abstraction_24_0': '8', 'shipley_abstraction_25_0': '', 'shipley_abstraction_25_1': '', 'shipley_abstraction_25_2': ''}",,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,38,1356026,0.0-11.0-5.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,39,1356027,0.0-11.0-6.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,40,1356028,0.0-11.0-8.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,async_data_save,,Shipley (Abstraction)__completed,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,41,2181045,0.0-12.0-0.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 825015}]",825016.0,,,,,,,,,,,,break_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,42,2181050,0.0-13.0-0.0-0.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,43,2181202,0.0-13.0-1.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,44,2189977,0.0-13.0-2.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 8774}]",8775.0,,,,,,,,,,,,shipley_vocab_instructions,,,,,,,,,,,,,,,,,,,False,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,45,2189977,0.0-13.0-3.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,46,2511752,0.0-13.0-4.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,321766.0,,,,,,,,,,,,shipley_vocab_test_trial,,,,,,,,,,,,,,,,,,,False,28.0,,,"{'shipley_vocab_1': 'speak', 'shipley_vocab_2': 'sofa', 'shipley_vocab_3': 'recall', 'shipley_vocab_4': 'forgive', 'shipley_vocab_5': 'dreadful', 'shipley_vocab_6': 'large', 'shipley_vocab_7': 'likely', 'shipley_vocab_8': 'pretender', 'shipley_vocab_9': 'enchant', 'shipley_vocab_10': 'obvious', 'shipley_vocab_11': 'tell', 'shipley_vocab_12': 'pull', 'shipley_vocab_13': 'laughter', 'shipley_vocab_14': 'uninformed', 'shipley_vocab_15': 'heading', 'shipley_vocab_16': 'signify', 'shipley_vocab_17': 'serious', 'shipley_vocab_18': 'strengthen', 'shipley_vocab_19': 'deserve', 'shipley_vocab_20': 'fame', 'shipley_vocab_21': 'help', 'shipley_vocab_22': 'charm', 'shipley_vocab_23': 'barren', 'shipley_vocab_24': 'affable', 'shipley_vocab_25': 'waste', 'shipley_vocab_26': 'notched', 'shipley_vocab_27': 'pilfer', 'shipley_vocab_28': 'hole', 'shipley_vocab_29': 'unspoiled', 'shipley_vocab_30': 'harmless', 'shipley_vocab_31': 'humorous', 'shipley_vocab_32': 'lament', 'shipley_vocab_33': 'relentless', 'shipley_vocab_34': 'dispossess', 'shipley_vocab_35': 'mitigate', 'shipley_vocab_36': 'complaining', 'shipley_vocab_37': 'incite', 'shipley_vocab_38': 'disuse', 'shipley_vocab_39': 'traverse', 'shipley_vocab_40': 'everyday'}",,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,47,2511755,0.0-13.0-5.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,48,2511755,0.0-13.0-6.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,49,2511757,0.0-13.0-8.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,async_data_save,,Shipley (Vocabulary)__completed,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,50,2511763,0.0-15.0-0.0-0.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,51,2511914,0.0-15.0-1.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,52,2561095,0.0-15.0-2.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 30360}, {'page_index': 1, 'viewing_time': 18820}]",49180.0,,,,,,,,,,,,dn_general_instructions,,,,,,,,,,,,,,,,,,,False,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,53,2561096,0.0-15.0-3.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,54,2568920,0.0-15.0-4.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 7824}]",7824.0,,,,,,,,,,,,dn_pt_trials_instructions,,,,,,,,,,,,,,,,,,,False,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,55,2569222,0.0-15.0-5.0-0.0-0.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,56,2585224,0.0-15.0-5.0-0.0-1.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,True,34.0,,,,,,,,,,True,0.0,0.0,A,harmony,text,array,large,small,0.36,0.3,400.0,10.0,144.0,3.0,256.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,57,2586228,0.0-15.0-5.0-0.0-2.0,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: red;"">X<br><br>TOO SLOW</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,58,2586529,0.0-15.0-5.0-0.0-0.1,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,59,2592152,0.0-15.0-5.0-0.0-1.1,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,22927.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,37.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,True,0.0,1.0,A,harmony,array,array,small,large,0.1,0.12,10.0,400.0,1.0,48.0,9.0,352.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,60,2592153,0.0-15.0-5.0-0.0-2.1,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,5623.0,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,61,2592454,0.0-15.0-5.0-0.0-0.2,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,62,2608455,0.0-15.0-5.0-0.0-1.2,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,True,40.0,,,,,,,,,,True,0.0,2.0,A,harmony,text,text,small,large,0.1,0.11,10.0,400.0,1.0,44.0,9.0,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,63,2609457,0.0-15.0-5.0-0.0-2.2,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: red;"">X<br><br>TOO SLOW</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,64,2609759,0.0-15.0-5.0-0.0-0.3,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,65,2619993,0.0-15.0-5.0-0.0-1.3,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,27537.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,43.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,True,0.0,3.0,A,harmony,array,text,large,small,0.28,0.2,400.0,10.0,112.0,2.0,288.0,8.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,66,2619993,0.0-15.0-5.0-0.0-2.3,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,10233.0,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,67,2620294,0.0-15.0-5.0-0.0-0.4,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,68,2636296,0.0-15.0-5.0-0.0-1.4,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,True,46.0,,,,,,,,,,True,0.0,4.0,A,harmony,text,array,large,small,0.35,0.3,400.0,10.0,140.0,3.0,260.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,69,2636729,0.0-15.0-5.0-0.0-2.4,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,16434.0,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,70,2637031,0.0-15.0-5.0-0.0-0.5,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,71,2653032,0.0-15.0-5.0-0.0-1.5,AjaMOfTft6JUA6zGOzJG,223301,3,nuM7jZuGTVkmBKFvvCv7bP8Vpc,NiwMDhar0iyZSbpfwGN0zs2TvH,1280.0,720.0,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,True,49.0,,,,,,,,,,True,0.0,5.0,A,harmony,array,array,small,large,0.2,0.26,10.0,400.0,2.0,104.0,8.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
