trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_impossible_question,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_a2,task_admc_rp,task_graph_literacy,task_coherence_forecasting,task_admc_rc1,task_time_series,task_shipley_vocab,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,custom_timer_ended_trial,interval_id,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,slider_start,admc_id,admc_response,moved_sliders,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,cfs_id,cfs_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,question_order,shipley_vocabulary_score,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,shipley_abstraction_score
html-keyboard-response,2,47,0.0-2.0,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,f1QThbKsDlRTfEFDVfLuwL1IRn,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,13675,0.0-7.0-1.0,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,26437,0.0-7.0-2.0,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,"[{'page_index': 0, 'viewing_time': 12762}]",12762.0,,,,,,,,,,,,iqc_general_instructions,,,,,,,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,26437,0.0-7.0-3.0,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,10,46158,0.0-7.0-4.0-0.0-0.0,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,19721.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,4.0,"{'GK_63': '1', 'GK_63_slider': '93'}",1.0,93.0,True,False,0.0,0.0,GK_63,Bats are not blind.,True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,11,48246,0.0-7.0-4.0-0.0-1.0,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,2082.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,5.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 1/30 questions completed. 100% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,12,59534,0.0-7.0-4.0-0.0-0.1,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,11287.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,6.0,"{'GK_55': '1', 'GK_55_slider': '82'}",1.0,82.0,True,False,0.0,1.0,GK_55,Autism has become an epidemic.,True,False,2.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,13,70545,0.0-7.0-4.0-0.0-1.1,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,True,7.0,,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 2/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,14,88710,0.0-7.0-4.0-0.0-0.2,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,18163.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,8.0,"{'GK_4': '2', 'GK_4_slider': '100'}",2.0,100.0,True,False,0.0,2.0,GK_4,Which comes closest in meaning to the following word? Easy,Complex,Simple,2.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,15,91229,0.0-7.0-4.0-0.0-1.2,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,2517.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,9.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 3/30 questions completed. 67% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,16,106686,0.0-7.0-4.0-0.0-0.3,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,15455.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,10.0,"{'GK_22': '1', 'GK_22_slider': '100'}",1.0,100.0,True,False,0.0,3.0,GK_22,China has over 1 billion mobile cellular connections,True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,17,113029,0.0-7.0-4.0-0.0-1.3,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,6340.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,11.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 4/30 questions completed. 75% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,18,134034,0.0-7.0-4.0-0.0-0.4,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21004.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,12.0,{'GK_61': '3'},3.0,,False,False,0.0,4.0,GK_61,Which comes closest in meaning to the following word? Intransigent,Transitory,Inflexible,2.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,19,138550,0.0-7.0-4.0-0.0-1.4,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,4511.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,13.0,0,,,,,,,,,,,,,,<p>Progress: 5/30 questions completed. 75% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,20,152302,0.0-7.0-4.0-0.0-0.5,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,13751.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,14.0,"{'GK_6': '1', 'GK_6_slider': '91'}",1.0,91.0,True,False,0.0,5.0,GK_6,Which of the following is found in plant cells but not animal cells?,Chloroplasts,Ribosome,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,163005,0.0-7.0-4.0-0.0-1.5,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,10700.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,15.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 6/30 questions completed. 80% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,22,181542,0.0-7.0-4.0-0.0-0.6,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,18533.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,16.0,"{'GK_64': '1', 'GK_64_slider': '100'}",1.0,100.0,True,False,0.0,6.0,GK_64,Human children have more bones than adults.,True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,188614,0.0-7.0-4.0-0.0-1.6,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,7069.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,17.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 7/30 questions completed. 83% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,24,209046,0.0-7.0-4.0-0.0-0.7,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,20431.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,18.0,"{'GK_42': '1', 'GK_42_slider': '93'}",1.0,93.0,True,False,0.0,7.0,GK_42,Which happened earlier in history?,Chinese issue the first paper money,European sailors begin to use the magnetic compass,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,214669,0.0-7.0-4.0-0.0-1.7,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,5620.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,19.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 8/30 questions completed. 86% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,26,235673,0.0-7.0-4.0-0.0-0.8,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21001.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,20.0,{},,,False,False,0.0,8.0,IQ_5,What is the Parlichev method?,A way of extracting minerals from soil,A way of determining the distance to a star,3.0,anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,242654,0.0-7.0-4.0-0.0-1.8,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,6978.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,21.0,0,,,,,,,,,,,,,,<p>Progress: 9/30 questions completed. 86% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,28,263657,0.0-7.0-4.0-0.0-0.9,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21001.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,22.0,{'IQ_1': '3'},3.0,,False,False,0.0,9.0,IQ_1,When did the battle of Kavkav take place?,Before 1647,After 1647,3.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,269261,0.0-7.0-4.0-0.0-1.9,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,5602.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,23.0,0,,,,,,,,,,,,,,<p>Progress: 10/30 questions completed. 86% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,30,290265,0.0-7.0-4.0-0.0-0.10,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21002.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,24.0,{'IQ_6': '3'},3.0,,False,False,0.0,10.0,IQ_6,Resistance Configuration Theory is a psychological theory that explains:,How people avoid blame and why they do not recognize when something is their fault,Why certain people do not try new experiences,3.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,295206,0.0-7.0-4.0-0.0-1.10,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,4938.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,25.0,0,,,,,,,,,,,,,,<p>Progress: 11/30 questions completed. 86% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,32,314310,0.0-7.0-4.0-0.0-0.11,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,19103.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,26.0,"{'GK_80': '1', 'GK_80_slider': '91'}",1.0,91.0,True,False,0.0,11.0,GK_80,Most diamonds are not formed from coal.,True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,33,317406,0.0-7.0-4.0-0.0-1.11,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,3092.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,27.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 12/30 questions completed. 88% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,34,338408,0.0-7.0-4.0-0.0-0.12,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21000.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,28.0,{'IQ_2': '3'},3.0,,False,False,0.0,12.0,IQ_2,How many sides does a Detseroid have?,More than 20,Less than 20,3.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,35,343510,0.0-7.0-4.0-0.0-1.12,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,5100.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,29.0,0,,,,,,,,,,,,,,<p>Progress: 13/30 questions completed. 88% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,36,349742,0.0-7.0-4.0-0.0-0.13,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,6231.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,30.0,"{'GK_3': '1', 'GK_3_slider': '100'}",1.0,100.0,True,False,0.0,13.0,GK_3,Apples are classified as:,Fruits,Vegetables,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,37,354189,0.0-7.0-4.0-0.0-1.13,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,4444.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,31.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 14/30 questions completed. 89% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,38,372406,0.0-7.0-4.0-0.0-0.14,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,18215.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,32.0,"{'GK_14': '1', 'GK_14_slider': '100'}",1.0,100.0,True,False,0.0,14.0,GK_14,"Methane, Carbon Dioxide and Water vapor in the atmosphere are all good at trapping heat from the Earth's surface",True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,39,375765,0.0-7.0-4.0-0.0-1.14,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,3357.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,33.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 15/30 questions completed. 90% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,40,396769,0.0-7.0-4.0-0.0-0.15,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21002.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,34.0,{'GK_53': '3'},3.0,,False,False,0.0,15.0,GK_53,The top 10 car manufacturing countries produced approximately how many new cars in 2014?,50 milion,10 million,1.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,41,400774,0.0-7.0-4.0-0.0-1.15,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,4002.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,35.0,0,,,,,,,,,,,,,,<p>Progress: 16/30 questions completed. 90% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,42,415310,0.0-7.0-4.0-0.0-0.16,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,14535.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,36.0,"{'GK_2': '1', 'GK_2_slider': '99'}",1.0,99.0,True,False,0.0,16.0,GK_2,The radius of the Earth is approximately...,4000 miles,200 miles,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,43,420510,0.0-7.0-4.0-0.0-1.16,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,5196.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,37.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 17/30 questions completed. 91% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,44,441513,0.0-7.0-4.0-0.0-0.17,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21001.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,38.0,"{'GK_36': '1', 'GK_36_slider': '50'}",1.0,,False,False,0.0,17.0,GK_36,Ocean currents carry heat from the equator toward the north and south poles.,True,False,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,45,449430,0.0-7.0-4.0-0.0-1.17,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,7915.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,39.0,0,,,,,,,,,,,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 18/30 questions completed. 92% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,46,470433,0.0-7.0-4.0-0.0-0.18,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21001.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,40.0,{},,,False,False,0.0,18.0,IQ_4,What is the most prominent symptom of Seradot's disease?,A fever,A rash,3.0,anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,47,475949,0.0-7.0-4.0-0.0-1.18,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,5514.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,41.0,0,,,,,,,,,,,,,,<p>Progress: 19/30 questions completed. 92% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,48,496951,0.0-7.0-4.0-0.0-0.19,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,21000.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,42.0,{'GK_70': '3'},3.0,,False,False,0.0,19.0,GK_70,"A man bought a car for $10,000. He sold the car once the price fell by 17%, and invested the money so that he then got back $10,000. His profit on the invested amount is approximately:",0.17,0.2,2.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,49,504598,0.0-7.0-4.0-0.0-1.19,TKO2Alhu9oJQR8IzF5eI,223301,5,6a7grifZTCWtkKHONY4ZBFNmNK,Ne4j5wPt1PktZ8PKyLLgNJDonx,931.0,698.0,,7641.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,43.0,0,,,,,,,,,,,,,,<p>Progress: 20/30 questions completed. 92% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
