trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_leapfrog,task_time_series,task_admc_a1,task_impossible_question,task_cognitive_reflection,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_raven_matrix,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_dr,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response,list_id,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
call-function,0,4,0.0-0.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,2215,0.0-1.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,"[{'page_index': 0, 'viewing_time': 2209}]",2209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,2216,0.0-2.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,3209,0.0-3.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,1360.0,609.0,True,chrome,123.0.0,False,Windows 10,True,60.87,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,7497,0.0-4.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,7499,0.0-5.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,7501,0.0-6.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,3,0.0-0.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,Kwm9YtdAU1EqRBOiT0S1VWqbAx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
