view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,custom_timer_ended_trial,interval_id,response,question_order,admc_id,admc_response,stimulus,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,slider_start,experiment_parameters,task_admc_dr,task_impossible_question,task_admc_rc2,task_admc_a1,task_leapfrog,task_cognitive_reflection,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_raven_matrix,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response,list_id
"[{'page_index': 0, 'viewing_time': 235966}]",235967.0,instructions,3,235972,0.0-3.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,235976,0.0-4.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,5,236970,0.0-5.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,1536.0,695.0,True,chrome,123.0.0,False,Windows 10,True,61.21,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,243221,0.0-6.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,7,243222,0.0-7.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,8,243224,0.0-8.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,async_data_save,,experiment__welcome,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,9,243227,0.0-9.0-0.0-0.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,10,243379,0.0-9.0-1.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 43501}, {'page_index': 1, 'viewing_time': 26076}]",69576.0,instructions,11,312957,0.0-9.0-2.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_instructions,,,,False,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,12,312961,0.0-9.0-3.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40989.0,survey-multi-select,13,353955,0.0-9.0-4.0-0.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,False,15.0,{'dr1': ['B']},[0],dr1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46002.0,survey-multi-select,14,399963,0.0-9.0-4.0-0.1,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,True,16.0,{'dr2': ['B']},[0],dr2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32328.0,survey-multi-select,15,432297,0.0-9.0-4.0-0.2,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,False,17.0,{'dr3': ['C']},[0],dr3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15317.0,survey-multi-select,16,447620,0.0-9.0-4.0-0.3,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,False,18.0,{'dr4': ['C']},[0],dr4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45999.0,survey-multi-select,17,493624,0.0-9.0-4.0-0.4,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,True,19.0,{'dr5': ['A']},[0],dr5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33194.0,survey-multi-select,18,526827,0.0-9.0-4.0-0.5,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,False,20.0,{'dr6': ['E']},[0],dr6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46001.0,survey-multi-select,19,572835,0.0-9.0-4.0-0.6,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,True,21.0,{'dr7': ['E']},[0],dr7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45995.0,survey-multi-select,20,618845,0.0-9.0-4.0-0.7,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,True,22.0,"{'dr8': ['A', 'C']}",[0],dr8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45994.0,survey-multi-select,21,664855,0.0-9.0-4.0-0.8,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,True,23.0,"{'dr9': ['A', 'D', 'E']}",[0],dr9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45993.0,survey-multi-select,22,710865,0.0-9.0-4.0-0.9,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,admc_dr_trial,,,,True,24.0,"{'dr10': ['A', 'D', 'E']}",[0],dr10,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,23,710874,0.0-9.0-5.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30734.0,html-button-response,24,741613,0.0-9.0-6.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,feedback_ADMC Decision Rules,,,,,,None. It is just time is very limited.,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,25,741616,0.0-9.0-7.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,26,741617,0.0-9.0-9.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,async_data_save,,ADMC Decision Rules__completed,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,27,741769,0.0-11.0-1.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 20782}]",20782.0,instructions,28,762553,0.0-11.0-2.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_general_instructions,,,,False,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,29,762554,0.0-11.0-3.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12130.0,survey-html-form,30,774685,0.0-11.0-4.0-0.0-0.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,28.0,"{'GK_91': '2', 'GK_91_slider': '50'}",,,,,2.0,50.0,True,False,0.0,0.0,GK_91,"A ball made of solid steel will not float on water. However, when steel is used to make a boat it floats because the steel is made less dense.",True,False,2.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2562.0,html-button-response,31,777250,0.0-11.0-4.0-0.0-1.0,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,29.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 1/30 questions completed. 100% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9618.0,survey-html-form,32,786870,0.0-11.0-4.0-0.0-0.1,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,30.0,"{'IQ_8': '1', 'IQ_8_slider': '50'}",,,,,1.0,50.0,True,False,0.0,1.0,IQ_8,What is the nutritional value of a Golgrest Fruit?,High in Protein,Low in Carbohydrates,3.0,aig_A,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1410.0,html-button-response,33,788281,0.0-11.0-4.0-0.0-1.1,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,31.0,0,,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 2/30 questions completed. 50% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10994.0,survey-html-form,34,799276,0.0-11.0-4.0-0.0-0.2,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,32.0,"{'GK_20': '1', 'GK_20_slider': '59'}",,,,,1.0,59.0,True,False,0.0,2.0,GK_20,Moderate earthquakes (5.0 - 5.9 on the Richter Scale) happen approximately twice a day.,True,False,1.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,951.0,html-button-response,35,800230,0.0-11.0-4.0-0.0-1.2,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,33.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 3/30 questions completed. 67% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6166.0,survey-html-form,36,806397,0.0-11.0-4.0-0.0-0.3,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,34.0,{'IQ_10': '3'},,,,,3.0,,False,False,0.0,3.0,IQ_10,What is the cure for Zolbrod's syndrome?,Immunotherapy,Radiation Therapy,3.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1246.0,html-button-response,37,807644,0.0-11.0-4.0-0.0-1.3,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,35.0,0,,,,<p>Progress: 4/30 questions completed. 67% correct.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6507.0,survey-html-form,38,814153,0.0-11.0-4.0-0.0-0.4,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,36.0,"{'GK_54': '1', 'GK_54_slider': '100'}",,,,,1.0,100.0,True,False,0.0,4.0,GK_54,What was the beta (early) version of the Internet called?,ARPAnet,Intranet,1.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
