trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a2,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_vocab,task_admc_rc1,task_coherence_forecasting,task_bayesian_update_easy,task_bayesian_update_hard,task_graph_literacy,task_impossible_question,task_time_series,task_admc_rp,task_shipley_abstraction,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,shipley_vocabulary_score,moved_sliders,cfs_id,cfs_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score
call-function,0,2,0.0-0.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,1481,0.0-1.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,"[{'page_index': 0, 'viewing_time': 1478}]",1478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1481,0.0-2.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,2469,0.0-3.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,1496.0,847.0,True,edge-chromium,123.0.0,False,Windows 10,True,60.96,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,4844,0.0-4.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,4844,0.0-5.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,4845,0.0-6.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,4,0.0-0.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,RsZ2FjVVQZZm9w0SVRYHVzMj0D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
