trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a2,task_graph_literacy,task_shipley_abstraction,task_time_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_coherence_forecasting,task_shipley_vocab,task_admc_rc1,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_admc_rp,task_impossible_question,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,shipley_abstraction_score,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,moved_sliders,cfs_id,cfs_response,question_order,shipley_vocabulary_score,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct
html-keyboard-response,199,1219790,0.0-15.0-7.0-0.0-1.33,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,3889.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3523.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,,,,,,,,,,,,,,False,0.0,33.0,,,,,A,conflict,array,array,small,large,0.2,0.16,10.0,400.0,2.0,64.0,8.0,336.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,200,1220793,0.0-15.0-7.0-0.0-2.33,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,201,1221096,0.0-15.0-7.0-0.0-0.34,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,202,1223300,0.0-15.0-7.0-0.0-1.34,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,2200.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3544.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,,,,,,,,,,,,,,False,0.0,34.0,,,,,A,conflict,text,array,small,large,0.1,0.02,10.0,400.0,1.0,8.0,9.0,392.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,203,1224306,0.0-15.0-7.0-0.0-2.34,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,204,1224609,0.0-15.0-7.0-0.0-0.35,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,205,1227190,0.0-15.0-7.0-0.0-1.35,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,2578.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3563.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,,,,,,,,,,,,,,,False,0.0,35.0,,,,,A,harmony,text,text,large,small,0.16,0.1,400.0,10.0,64.0,1.0,336.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,206,1228193,0.0-15.0-7.0-0.0-2.35,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,207,1228496,0.0-15.0-7.0-0.0-0.36,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,208,1232389,0.0-15.0-7.0-0.0-1.36,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,3891.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3582.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,,,,,,,,,,,,,,False,0.0,36.0,,,,,A,conflict,array,text,small,large,0.1,0.11,10.0,400.0,1.0,44.0,9.0,356.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,209,1233392,0.0-15.0-7.0-0.0-2.36,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,210,1233700,0.0-15.0-7.0-0.0-0.37,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,211,1236889,0.0-15.0-7.0-0.0-1.37,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,3185.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3603.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,,,,,,,,,,,,,,,False,0.0,37.0,,,,,A,conflict,array,text,large,small,0.31,0.3,400.0,10.0,124.0,3.0,276.0,7.0,right,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,212,1237892,0.0-15.0-7.0-0.0-2.37,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,213,1238196,0.0-15.0-7.0-0.0-0.38,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,214,1240489,0.0-15.0-7.0-0.0-1.38,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,2290.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3671.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,,,,,,,,,,,,,,,False,0.0,38.0,,,,,A,harmony,array,array,large,small,0.27,0.3,400.0,10.0,108.0,3.0,292.0,7.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,215,1241492,0.0-15.0-7.0-0.0-2.38,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,216,1241795,0.0-15.0-7.0-0.0-0.39,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,217,1244449,0.0-15.0-7.0-0.0-1.39,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,2651.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3690.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,,,,,,,,,,,,,,False,0.0,39.0,,,,,A,conflict,text,text,small,large,0.1,0.04,10.0,400.0,1.0,16.0,9.0,384.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,218,1245454,0.0-15.0-7.0-0.0-2.39,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,219,1245757,0.0-15.0-7.0-0.0-0.40,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,220,1247464,0.0-15.0-7.0-0.0-1.40,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,1703.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3709.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,,,,,,,,,,,,,,,False,0.0,40.0,,,,,A,harmony,array,array,large,small,0.19,0.2,400.0,10.0,76.0,2.0,324.0,8.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,221,1248467,0.0-15.0-7.0-0.0-2.40,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,222,1248768,0.0-15.0-7.0-0.0-0.41,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,223,1250769,0.0-15.0-7.0-0.0-1.41,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,1998.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3726.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,,,,,,,,,,,,,,,False,0.0,41.0,,,,,A,harmony,text,text,small,large,0.1,0.08,10.0,400.0,1.0,32.0,9.0,368.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,224,1251772,0.0-15.0-7.0-0.0-2.41,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,225,1252076,0.0-15.0-7.0-0.0-0.42,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,226,1255723,0.0-15.0-7.0-0.0-1.42,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,3643.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,3743.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,,,,,,,,,,,,,,,False,0.0,42.0,,,,,A,harmony,text,array,small,large,0.3,0.33,10.0,400.0,3.0,132.0,7.0,268.0,right,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,227,1256728,0.0-15.0-7.0-0.0-2.42,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,228,1257031,0.0-15.0-7.0-0.0-0.43,HOO4ur5obRlBT92ilKG4,223301,5,ymf6SNAy9wIcgHQMBdKqiuIRCq,a7zbZ1mKgUa4zBNih3NNNzSycH,2560.0,1440.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
