view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_admc_dr,task_time_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,task_bayesian_update_easy,task_bayesian_update_hard,task_cognitive_reflection,task_number_series,task_admc_a1,task_raven_matrix,task_impossible_question,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,list_id,correct_answer,correct,response_choice,id,question_text,answer_1,answer_2
,,html-keyboard-response,2,24,0.0-2.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,3,1361,0.0-3.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,1366.0,649.0,True,chrome,103.0.0,False,Chrome OS,True,60.51,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,1364,0.0-4.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,5,1522,0.0-5.0-1.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,3,1361,0.0-3.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,1366.0,649.0,True,chrome,103.0.0,False,Chrome OS,True,60.51,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,1364,0.0-4.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,5,1522,0.0-5.0-1.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 2912}]",2913.0,instructions,6,4439,0.0-5.0-2.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_rc2_instructions,,,,,,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,7,4443,0.0-5.0-3.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10090.0,html-slider-response,8,14542,0.0-5.0-4.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,5.0,"<p><b>Problem</b></p>
                                <p>Imagine a hospital is treating 32 injured soldiers, who are all expected to lose one leg. There are two doctors that can help the soldiers, but only one can be hired:</p>
                                <p style=""margin-left: 30px"">If Doctor A is hired, 12 soldiers will lose one leg.</p>
                                <p style=""margin-left: 30px"">If Doctor B is hired, there is a 63% chance that nobody loses a leg and a 37% chance that all lose a leg.</p>
                                <p>Which doctor do you recommend?</p>",1.0,2,True,rc2_1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11591.0,html-slider-response,9,26151,0.0-5.0-4.0-0.1,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,6.0,"<p><b>Problem</b></p>
                                <p>Imagine that the U.S. is preparing for the outbreak of an unusual disease, which is expected to kill 600 people. Two alternative programs to combat the disease have been proposed. Assume that the exact scientific estimates of the consequences of the programs are as follows:</p>
                                <p style=""margin-left: 30px"">If Program A is adopted, 400 people will die.</p>
                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 33% chance that nobody will die, and a 67% chance that 600 people will die.</p>
                                <p>Which program do you recommend to use?</p>",1.0,5,True,rc2_2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6688.0,html-slider-response,10,32854,0.0-5.0-4.0-0.2,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,7.0,"<p><b>Problem</b></p>
                                <p>Imagine that your client has $6,000 invested in the stock market. A downturn in the economy is occurring. You have two investment strategies that you can recommend under the existing circumstances to preserve your client's capital.</p>
                                <p style=""margin-left: 30px"">If strategy A is followed, $4,000 of your client's investment will be lost.</p>
                                <p style=""margin-left: 30px"">If strategy B is followed, there is a 33% chance that the nothing will be lost, and a 67% chance that $6,000 will be lost.</p>
                                <p>Which of these two strategies would you favor?</p>",1.0,3,True,rc2_3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4477.0,html-slider-response,11,37338,0.0-5.0-4.0-0.3,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,8.0,"<p><b>Problem</b></p>
                                <p>Because of changes in tax laws, you may get back as much as $1200 in income tax. Your accountant has been exploring alternative ways to take advantage of this situation. He has developed two plans:</p>
                                <p style=""margin-left: 30px"">If Plan A is adopted, you will lose $800 of the possible $1200.</p>
                                <p style=""margin-left: 30px"">If Plan B is adopted, you have a 33% chance of losing none of the money, and a 67% chance of losing all $1200.</p>
                                <p>Which plan would you use?</p>",1.0,3,True,rc2_4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3042.0,html-slider-response,12,40395,0.0-5.0-4.0-0.4,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,9.0,"<p><b>Problem</b></p>
                                <p>Imagine that recent evidence has shown that a pesticide is threatening the lives of 1,200 endangered animals. Two response options have been suggested:</p>
                                <p style=""margin-left: 30px"">If Option A is used, 600 animals will be lost for sure.</p>
                                <p style=""margin-left: 30px"">If Option B is used, there is a 75% chance that 400 animals will be lost, and a 25% chance that 1,200 animals will be lost.</p>
                                <p>Which option do you recommend to use?</p>",1.0,5,True,rc2_5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10707.0,html-slider-response,13,51109,0.0-5.0-4.0-0.5,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,10.0,"<p><b>Problem</b></p>
                                <p>Imagine that your doctor tells you that you have a cancer that must be treated. Your choices are as follows:</p>
                                <p style=""margin-left: 30px"">Surgery: Of 100 people having surgery, 10 die because of the operation, and 66 die by the end of five years.</p>
                                <p style=""margin-left: 30px"">Radiation therapy: Of 100 people having radiation therapy, none die during the treatment, and 78 die by the end of five years.</p>
                                <p>Which treatment would you choose?</p>",1.0,1,True,rc2_6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6843.0,html-slider-response,14,57969,0.0-5.0-4.0-0.6,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,11.0,"<p><b>Problem</b></p>
                                <p>Imagine that in one particular state it is projected that 1000 students will drop out of school during the next year. Two programs have been proposed to address this problem, but only one can be implemented. Based on other states' experiences with the programs, estimates of the outcomes that can be expected from each program can be made. Assume for purposes of this decision that these estimates of the outcomes are accurate and are as follows:</p>
                                <p style=""margin-left: 30px"">If Program A is adopted, 600 of the 1000 students will drop out of school.</p>
                                <p style=""margin-left: 30px"">If Program B is adopted, there is a 40% chance that none of the 1000 students will drop out of school and 60% chance that all 1000 students will drop out of school.</p>
                                <p>Which program would you favor for implementation?</p>",1.0,5,True,rc2_7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,15,57973,0.0-5.0-5.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2130.0,html-button-response,16,60113,0.0-5.0-6.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,feedback_ADMC Framing RC2,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,17,60116,0.0-5.0-7.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,18,60125,0.0-5.0-9.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,async_data_save,,ADMC Framing RC2__completed,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,19,60132,0.0-7.0-0.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,20,60287,0.0-7.0-1.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 3298}, {'page_index': 1, 'viewing_time': 2640}]",5940.0,instructions,21,66235,0.0-7.0-2.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_instructions,,,,,,,,,,,,,,,,,,False,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,22,66244,0.0-7.0-3.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14224.0,survey-multi-select,23,80521,0.0-7.0-4.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,15.0,,,{'dr1': ['C']},,dr1,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12424.0,survey-multi-select,24,93026,0.0-7.0-4.0-0.1,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,16.0,,,{'dr2': ['D']},,dr2,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13133.0,survey-multi-select,25,106233,0.0-7.0-4.0-0.2,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,17.0,,,{'dr3': ['D']},,dr3,0.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5533.0,survey-multi-select,26,111798,0.0-7.0-4.0-0.3,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,18.0,,,{'dr4': ['None']},,dr4,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42570.0,survey-multi-select,27,154393,0.0-7.0-4.0-0.4,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,19.0,,,{'dr5': ['A']},,dr5,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12283.0,survey-multi-select,28,166726,0.0-7.0-4.0-0.5,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,20.0,,,{'dr6': ['E']},,dr6,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14009.0,survey-multi-select,29,180789,0.0-7.0-4.0-0.6,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,21.0,,,{'dr7': ['E']},,dr7,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25314.0,survey-multi-select,30,206140,0.0-7.0-4.0-0.7,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,22.0,,,"{'dr8': ['A', 'C']}",,dr8,2.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33844.0,survey-multi-select,31,240026,0.0-7.0-4.0-0.8,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,23.0,,,"{'dr9': ['A', 'D', 'E']}",,dr9,3.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17826.0,survey-multi-select,32,257896,0.0-7.0-4.0-0.9,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,24.0,,,"{'dr10': ['C', 'D', 'E']}",,dr10,3.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,33,257913,0.0-7.0-5.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1726.0,html-button-response,34,259646,0.0-7.0-6.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,feedback_ADMC Decision Rules,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,35,259649,0.0-7.0-7.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,36,259657,0.0-7.0-9.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,3gjSm67LZrTNIqePEX8Knqe19f,,,,,,,,,,,,,,async_data_save,,ADMC Decision Rules__completed,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,0,15,0.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,1,1481,0.0-1.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,1366.0,649.0,True,chrome,103.0.0,False,Chrome OS,True,59.72,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,2,1486,0.0-2.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,3,1489,0.0-3.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,1493,0.0-5.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,5,1499,0.0-7.0-0.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,6,1681,0.0-7.0-1.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 7746}, {'page_index': 1, 'viewing_time': 2501}]",10249.0,instructions,7,11938,0.0-7.0-2.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,time_series_general_instructions,,,,,,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,8,11949,0.0-7.0-3.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 1228}]",1229.0,instructions,9,13180,0.0-7.0-4.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14837.0,html-button-response,10,28029,0.0-7.0-5.0-0.0-0.0,TKkwOc2pHd9PObQzxHDj,33ff78,5,E6Vx1GQZky6uXQ05fITP0lRg0R,8eUUpcYMU9Q1tK9lR8fVpe4cia,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,5.0,"<canvas id=""myChart""></canvas>",,0,,,,,"[376.9983265938326, 317.7343848228679, 367.4924020749581, 357.3228737638546, 310.0356986896596, 361.2306837185009, 310.51451802169674, 317.618194616244, 332.72862494886573, 327.66508855282524, '319.35', '346.67', '302.15', '299.11', '316.32', '292.03']",425.6,True,0.0,0.0,exponential,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
