trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_leapfrog,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_abstraction,task_shipley_vocab,task_admc_a2,task_admc_rp,task_graph_literacy,task_impossible_question,task_coherence_forecasting,task_admc_rc1,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,shipley_abstraction_score,question_order,shipley_vocabulary_score,slider_start,slider_moved,admc_id,admc_response,moved_sliders,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,cfs_id,cfs_response
html-keyboard-response,314,291085,0.0-7.0-8.0-1.0-0.27,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,226.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,67.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,315,292089,0.0-7.0-8.0-1.0-1.27,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,316,292349,0.0-7.0-8.0-1.0-0.28,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,257.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,68.0,50.0,60.0,50.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,317,293362,0.0-7.0-8.0-1.0-1.28,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>50</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,318,293594,0.0-7.0-8.0-1.0-0.29,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,230.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,69.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,319,294607,0.0-7.0-8.0-1.0-1.29,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,320,294896,0.0-7.0-8.0-1.0-0.30,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,287.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,70.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,321,295902,0.0-7.0-8.0-1.0-1.30,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,322,296163,0.0-7.0-8.0-1.0-0.31,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,260.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,71.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,323,297165,0.0-7.0-8.0-1.0-1.31,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,324,297431,0.0-7.0-8.0-1.0-0.32,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,253.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,72.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,325,298441,0.0-7.0-8.0-1.0-1.32,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,326,298744,0.0-7.0-8.0-1.0-0.33,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,302.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,73.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,327,299749,0.0-7.0-8.0-1.0-1.33,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,328,300069,0.0-7.0-8.0-1.0-0.34,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,318.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,1.0,74.0,50.0,60.0,50.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,329,301078,0.0-7.0-8.0-1.0-1.34,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>50</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,330,301348,0.0-7.0-8.0-1.0-0.35,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,269.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,75.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,331,302357,0.0-7.0-8.0-1.0-1.35,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,332,302634,0.0-7.0-8.0-1.0-0.36,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,275.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,76.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,333,303641,0.0-7.0-8.0-1.0-1.36,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,334,303890,0.0-7.0-8.0-1.0-0.37,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,247.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,77.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,335,304896,0.0-7.0-8.0-1.0-1.37,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,336,305162,0.0-7.0-8.0-1.0-0.38,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,265.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,78.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,337,306168,0.0-7.0-8.0-1.0-1.38,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,338,306458,0.0-7.0-8.0-1.0-0.39,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,289.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,79.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,339,307463,0.0-7.0-8.0-1.0-1.39,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,340,307938,0.0-7.0-8.0-2.0-0.0,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,462.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,2.0,80.0,50.0,60.0,50.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,341,308943,0.0-7.0-8.0-2.0-1.0,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>50</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,342,309277,0.0-7.0-8.0-2.0-0.1,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,332.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,81.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,343,310283,0.0-7.0-8.0-2.0-1.1,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,344,310552,0.0-7.0-8.0-2.0-0.2,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,269.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,82.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,345,311563,0.0-7.0-8.0-2.0-1.2,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,346,311859,0.0-7.0-8.0-2.0-0.3,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,295.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,83.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,347,312864,0.0-7.0-8.0-2.0-1.3,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,348,313175,0.0-7.0-8.0-2.0-0.4,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,308.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,84.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,349,314186,0.0-7.0-8.0-2.0-1.4,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,350,314524,0.0-7.0-8.0-2.0-0.5,jRgId2AbQkaa6UHly2aN,223301,5,2X64KhtgQiPec1qIy7DrVmmYiZ,Zrbu3sLt5nAiclrIJ5HyMLQnVG,1280.0,720.0,,337.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,85.0,50.0,60.0,60.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
