trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_cognitive_reflection,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_number_series,task_admc_dr,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_raven_matrix,task_admc_rc2,task_time_series,task_admc_a1,task_impossible_question,response,question_order,custom_timer_ended_trial,interval_id,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,ns_id,ns_response,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,list_id,correct_answer,correct,slider_start,slider_moved,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2
html-keyboard-response,2,3,0.0-2.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,3ga6mZrfXKjgesEDlpMc3gQiso,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,21174,0.0-7.0-1.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,21174,0.0-7.0-2.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,9,175694,0.0-7.0-3.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,154517.0,,,,,,,,,,,,cognitive_reflection_test_trial,,,,,,,,,,,,,,,,,,"{'crt_1': '5 cents', 'crt_2': '5 minutes', 'crt_3': '47 days', 'crt_4': '4 days', 'crt_5': '29 students', 'crt_6': '10 dollars', 'crt_7': 'has lost money.'}","[0, 1, 2, 3, 4, 5, 6]",False,28.0,5 cents,5 minutes,47 days,4 days,29 students,10 dollars,has lost money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,175698,0.0-7.0-4.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,11,175698,0.0-7.0-5.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,12,175699,0.0-7.0-7.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,async_data_save,,Cognitive Reflection__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,13,175702,0.0-9.0-0.0-0.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,14,175853,0.0-9.0-1.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,15,225515,0.0-9.0-2.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 29244}, {'page_index': 1, 'viewing_time': 20414}]",49658.0,,,,,,,,,,,,bayesian_update_general_instructions,,,,,,,,,,,,,,,,,,,,False,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,16,225516,0.0-9.0-3.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,17,228947,0.0-9.0-4.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 3430}]",3430.0,,,,,,,,,,,,bayesian_update_pt_trials_instructions,,,,,,,,,,,,,,,,,,,,False,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,18,239942,0.0-9.0-5.0-0.0-0.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,10992.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,295.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",50.0,True,0.0,0.0,0.0,0.0,"[40, 60]",red,blue,blue,['blue'],[],easy,aig,1.504077396776274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,19,248080,0.0-9.0-5.0-0.0-0.1,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,8135.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,373.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",50.0,True,0.0,1.0,0.0,1.0,"[40, 60]",red,blue,blue,['blue'],[['blue']],easy,aig,1.9095425048844383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,20,254114,0.0-9.0-5.0-0.0-0.2,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,6032.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,424.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",50.0,True,0.0,2.0,0.0,2.0,"[40, 60]",red,blue,blue,['red'],"[['blue'], ['blue']]",easy,aig,1.504077396776274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,267941,0.0-9.0-5.0-0.0-0.3,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,13826.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,471.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",50.0,True,0.0,3.0,0.0,3.0,"[40, 60]",red,blue,blue,['red'],"[['blue'], ['blue'], ['red']]",easy,aig,1.0986122886681098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,22,287472,0.0-9.0-5.0-0.0-0.4,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,19528.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,523.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",40.0,True,0.0,4.0,0.0,4.0,"[40, 60]",red,blue,blue,['red'],"[['blue'], ['blue'], ['red'], ['red']]",easy,aig,0.8472978603872036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,23,305569,0.0-9.0-5.0-0.0-1.4-0.4,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 18096}]",18096.0,,,,,,,,,,,,bayesian_update_between_unique_trials_trial,,,,,,,,,,,,,,,,,,,,False,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,24,316430,0.0-9.0-5.0-0.0-0.5,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,10858.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,624.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",70.0,True,0.0,5.0,1.0,0.0,"[30, 70]",blue,red,red,['red'],[],easy,aig,0.6190392084062235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,330024,0.0-9.0-5.0-0.0-0.6,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,13592.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,684.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",70.0,True,0.0,6.0,1.0,1.0,"[30, 70]",blue,red,red,['red'],[['red']],easy,aig,0.2282586519809801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,26,339387,0.0-9.0-5.0-0.0-0.7,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,9362.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,746.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",70.0,True,0.0,7.0,1.0,2.0,"[30, 70]",blue,red,red,['red'],"[['red'], ['red']]",easy,aig,1.0755565123681836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,348266,0.0-9.0-5.0-0.0-0.8,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,8877.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,810.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",70.0,True,0.0,8.0,1.0,3.0,"[30, 70]",blue,red,red,['red'],"[['red'], ['red'], ['red']]",easy,aig,1.9228543727553875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,356065,0.0-9.0-5.0-0.0-0.9,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,,7797.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,0,,False,873.0,,,,,,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",70.0,True,0.0,9.0,1.0,4.0,"[30, 70]",blue,red,red,['red'],"[['red'], ['red'], ['red'], ['red']]",easy,aig,2.770152233142591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,29,366168,0.0-9.0-5.0-0.0-1.9-0.9,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 10103}]",10103.0,,,,,,,,,,,,bayesian_update_between_unique_trials_trial,,,,,,,,,,,,,,,,,,,,False,926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,30,384268,0.0-9.0-6.0,1iA0dNdgH8mMbZ0tR4K6,33ff78,3,cKkeJYiCziXM6554fIW3JFeYcK,V2TFDB9fP8VGOwGHxN4wAcKHNl,1280.0,720.0,"[{'page_index': 0, 'viewing_time': 18098}]",18098.0,,,,,,,,,,,,bayesian_update_test_trials_instructions,,,,,,,,,,,,,,,,,,,,False,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
