trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_number_series,task_admc_a1,task_admc_dr,task_admc_rc2,task_leapfrog,task_impossible_question,task_raven_matrix,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_cognitive_reflection,task_denominator_neglect_version_A,task_denominator_neglect_version_B,custom_timer_ended_trial,interval_id,response,ns_id,ns_response,stimulus,slider_start,slider_moved,admc_id,admc_response,question_order,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,list_id,y_axis_values,chart_height,func,direction,noise_condition,datapoints,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
html-keyboard-response,349,1216057,0.0-15.0-8.0-1.0-0.13,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,260.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,53.0,70.0,60.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,350,1217059,0.0-15.0-8.0-1.0-1.13,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,351,1217348,0.0-15.0-8.0-1.0-0.14,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,288.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,54.0,70.0,80.0,70.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,352,1218349,0.0-15.0-8.0-1.0-1.14,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,353,1218663,0.0-15.0-8.0-1.0-0.15,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,313.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,55.0,70.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,354,1219665,0.0-15.0-8.0-1.0-1.15,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,355,1219986,0.0-15.0-8.0-1.0-0.16,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,320.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,56.0,70.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,356,1220988,0.0-15.0-8.0-1.0-1.16,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,357,1221270,0.0-15.0-8.0-1.0-0.17,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,281.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,57.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,358,1222272,0.0-15.0-8.0-1.0-1.17,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,359,1222593,0.0-15.0-8.0-1.0-0.18,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,320.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,58.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,360,1223595,0.0-15.0-8.0-1.0-1.18,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,361,1223734,0.0-15.0-8.0-1.0-0.19,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,138.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,59.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,362,1224735,0.0-15.0-8.0-1.0-1.19,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,363,1224965,0.0-15.0-8.0-1.0-0.20,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,229.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,60.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,364,1225967,0.0-15.0-8.0-1.0-1.20,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,365,1226263,0.0-15.0-8.0-1.0-0.21,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,289.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,61.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,366,1227264,0.0-15.0-8.0-1.0-1.21,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,367,1227333,0.0-15.0-8.0-1.0-0.22,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,67.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,62.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,368,1228335,0.0-15.0-8.0-1.0-1.22,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,369,1228587,0.0-15.0-8.0-1.0-0.23,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,251.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,63.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,370,1229589,0.0-15.0-8.0-1.0-1.23,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,371,1229962,0.0-15.0-8.0-1.0-0.24,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,372.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,64.0,90.0,80.0,80.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,372,1230963,0.0-15.0-8.0-1.0-1.24,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,373,1231255,0.0-15.0-8.0-1.0-0.25,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,291.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,65.0,90.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,374,1232257,0.0-15.0-8.0-1.0-1.25,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,375,1232538,0.0-15.0-8.0-1.0-0.26,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,280.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,66.0,90.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,376,1233540,0.0-15.0-8.0-1.0-1.26,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,377,1233790,0.0-15.0-8.0-1.0-0.27,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,249.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,67.0,90.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,378,1234792,0.0-15.0-8.0-1.0-1.27,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,379,1234999,0.0-15.0-8.0-1.0-0.28,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,206.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,68.0,90.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,380,1236000,0.0-15.0-8.0-1.0-1.28,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,381,1236090,0.0-15.0-8.0-1.0-0.29,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,79.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,69.0,90.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,382,1237092,0.0-15.0-8.0-1.0-1.29,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,383,1237355,0.0-15.0-8.0-1.0-0.30,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,262.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowright,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,70.0,90.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,384,1238357,0.0-15.0-8.0-1.0-1.30,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,385,1238485,0.0-15.0-8.0-1.0-0.31,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,127.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",,,,,,False,1.0,71.0,90.0,100.0,90.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,386,1239486,0.0-15.0-8.0-1.0-1.31,yNm6Ltol5DXjwjz2vfYi,33ff78,5,KshoYTITzQTpzdiLFAaMi5Lz6r,PedNVhblKeRQ9J8fHc6isTIokV,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
