trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_cognitive_reflection,task_leapfrog,task_admc_dr,task_bayesian_update_easy,task_bayesian_update_hard,task_impossible_question,task_admc_a1,task_raven_matrix,task_number_series,task_time_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc2,response,question_order,custom_timer_ended_trial,interval_id,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,stimulus,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,response_choice,slider_moved,id,question_text,answer_1,answer_2,correct_answer,correct,slider_start,list_id,ns_id,ns_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
html-keyboard-response,47,448860,0.0-9.0-5.0-0.0-1.14,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>30</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,48,449339,0.0-9.0-5.0-0.0-0.15,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,477.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowright,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>30 points</div>
                            </div>",True,0.0,15.0,20.0,30.0,30.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,49,450341,0.0-9.0-5.0-0.0-1.15,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>30</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,50,450804,0.0-9.0-5.0-0.0-0.16,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,462.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowright,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>30 points</div>
                            </div>",True,0.0,16.0,20.0,30.0,30.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,51,451807,0.0-9.0-5.0-0.0-1.16,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>30</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,52,452450,0.0-9.0-5.0-0.0-0.17,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,642.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,0.0,17.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,53,453453,0.0-9.0-5.0-0.0-1.17,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,54,454130,0.0-9.0-5.0-0.0-0.18,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,676.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,0.0,18.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,55,455132,0.0-9.0-5.0-0.0-1.18,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,56,455589,0.0-9.0-5.0-0.0-0.19,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,456.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,0.0,19.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,57,456593,0.0-9.0-5.0-0.0-1.19,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,58,468627,0.0-9.0-5.0-1.0-0.0-0.0,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,12030.0,,,,,,,,,,,,leapfrog_pt_trial_interblock_question,,,,,,,,,,,,,,,,,,{'prediction': '30'},,False,2924.0,,,,,,,,,,,,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,59,473482,0.0-9.0-5.0-1.0-0.0-1.0,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,4853.0,,,,,,,,,,,,pt_trial_after_interblock,,,,,,,,,,,,,,,,,, ,,False,2998.0,,,,,,,,"<p>Now, please <b>place your right hand on the left and right arrow keys</b>.</p>
                            <p><i>Press the <b>spacebar</b> with your left hand whenever you are ready to continue!</i></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,60,474470,0.0-9.0-5.0-2.0-0.0,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,985.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowright,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,20.0,40.0,30.0,30.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,61,475473,0.0-9.0-5.0-2.0-1.0,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>30</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,62,476248,0.0-9.0-5.0-2.0-0.1,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,774.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,21.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,63,477250,0.0-9.0-5.0-2.0-1.1,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,64,478061,0.0-9.0-5.0-2.0-0.2,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,810.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,22.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,65,479066,0.0-9.0-5.0-2.0-1.2,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,66,479655,0.0-9.0-5.0-2.0-0.3,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,587.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,23.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,67,480657,0.0-9.0-5.0-2.0-1.3,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,68,481205,0.0-9.0-5.0-2.0-0.4,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,547.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,24.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,69,482207,0.0-9.0-5.0-2.0-1.4,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,70,482620,0.0-9.0-5.0-2.0-0.5,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,411.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,25.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,71,483623,0.0-9.0-5.0-2.0-1.5,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,72,484080,0.0-9.0-5.0-2.0-0.6,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,455.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,26.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,73,485082,0.0-9.0-5.0-2.0-1.6,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,74,485470,0.0-9.0-5.0-2.0-0.7,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,387.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,27.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,75,486472,0.0-9.0-5.0-2.0-1.7,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,76,486858,0.0-9.0-5.0-2.0-0.8,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,385.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,28.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,77,487861,0.0-9.0-5.0-2.0-1.8,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,78,488238,0.0-9.0-5.0-2.0-0.9,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,376.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,29.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,79,489239,0.0-9.0-5.0-2.0-1.9,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,80,489672,0.0-9.0-5.0-2.0-0.10,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,432.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,30.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,81,490676,0.0-9.0-5.0-2.0-1.10,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,82,491132,0.0-9.0-5.0-2.0-0.11,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,456.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,arrowleft,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>40 points</div>
                                <div>30 points</div>
                            </div>",True,1.0,31.0,40.0,30.0,40.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,83,492135,0.0-9.0-5.0-2.0-1.11,roz2c3opqAFnyNPbzR3h,33ff78,3,w60cS6neqxIeGWakQSBs9CadYz,AD01kZQlWrNONRZ9tDPN6aeo5v,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>40</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
