trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_shipley_vocab,task_time_series,task_leapfrog,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rp,task_bayesian_update_easy,task_bayesian_update_hard,task_graph_literacy,task_admc_rc1,task_coherence_forecasting,task_admc_a2,task_shipley_abstraction,custom_timer_ended_trial,interval_id,response,question_order,shipley_vocabulary_score,stimulus,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,moved_sliders,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,slider_moved,cfs_id,cfs_response,shipley_abstraction_score
call-function,0,2,0.0-0.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,24727,0.0-1.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,"[{'page_index': 0, 'viewing_time': 24719}]",24721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,24729,0.0-2.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,25716,0.0-3.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,1488.0,838.0,True,edge-chromium,123.0.0,False,Windows 10,True,61.92,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,33711,0.0-4.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,33713,0.0-5.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,33715,0.0-6.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,g1w56z9ienJgDLlHgF7eXW9KKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
