trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_shipley_vocab,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc1,task_admc_a2,task_shipley_abstraction,task_leapfrog,task_impossible_question,task_time_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_graph_literacy,task_admc_rp,task_coherence_forecasting,custom_timer_ended_trial,interval_id,response,question_order,shipley_vocabulary_score,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,slider_start,slider_moved,admc_id,admc_response,shipley_abstraction_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,moved_sliders,cfs_id,cfs_response
call-function,0,1,0.0-0.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,1802,0.0-1.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,"[{'page_index': 0, 'viewing_time': 1800}]",1801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,1803,0.0-2.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,2403,0.0-3.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,2646.0,1022.0,True,edge-chromium,123.0.0,False,Windows 10,True,100.35,False,False,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,8555,0.0-4.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,8556,0.0-5.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,8556,0.0-6.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,2,0.0-0.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,xQNImRVOFyj9CyBmALZQJKsjje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
