trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_leapfrog,task_impossible_question,task_shipley_vocab,task_coherence_forecasting,task_graph_literacy,task_time_series,task_shipley_abstraction,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_a2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc1,task_admc_rp,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,response_slider,slider_moved,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,question_order,shipley_vocabulary_score,moved_sliders,cfs_id,cfs_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,slider_start,admc_id,admc_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
html-keyboard-response,124,247462,0.0-7.0-5.0-4.0-0.14,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,225.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,2.0,54.0,60.0,70.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,125,248464,0.0-7.0-5.0-4.0-1.14,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,126,248630,0.0-7.0-5.0-4.0-0.15,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,165.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,2.0,55.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,127,249631,0.0-7.0-5.0-4.0-1.15,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,128,249813,0.0-7.0-5.0-4.0-0.16,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,181.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,2.0,56.0,60.0,70.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,129,250821,0.0-7.0-5.0-4.0-1.16,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,130,250866,0.0-7.0-5.0-4.0-0.17,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,44.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,2.0,57.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,131,251867,0.0-7.0-5.0-4.0-1.17,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,132,251915,0.0-7.0-5.0-4.0-0.18,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,47.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,2.0,58.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,133,252916,0.0-7.0-5.0-4.0-1.18,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,134,252957,0.0-7.0-5.0-4.0-0.19,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,40.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,2.0,59.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,135,253959,0.0-7.0-5.0-4.0-1.19,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,136,265253,0.0-7.0-5.0-5.0-0.0-0.0,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,11293.0,,,,,,,,,,,,leapfrog_pt_trial_interblock_question,,,,,,,,,,,,,,,,,,,False,189.0,,{'prediction': '5'},,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,137,270001,0.0-7.0-5.0-5.0-0.0-1.0,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,4745.0,,,,,,,,,,,,pt_trial_after_interblock,,,,,,,,,,,,,,,,,,,False,190.0,"<p>Now, please <b>place your right hand on the left and right arrow keys</b>.</p>
                            <p><i>Press the <b>spacebar</b> with your left hand whenever you are ready to continue!</i></p>", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,138,270979,0.0-7.0-5.0-6.0-0.0,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,977.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,60.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,139,271980,0.0-7.0-5.0-6.0-1.0,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,140,272352,0.0-7.0-5.0-6.0-0.1,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,371.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,61.0,60.0,70.0,60.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,141,273354,0.0-7.0-5.0-6.0-1.1,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>60</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,142,273445,0.0-7.0-5.0-6.0-0.2,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,90.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,62.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,143,274447,0.0-7.0-5.0-6.0-1.2,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,144,274779,0.0-7.0-5.0-6.0-0.3,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,331.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,63.0,60.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,145,275780,0.0-7.0-5.0-6.0-1.3,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,146,275966,0.0-7.0-5.0-6.0-0.4,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,182.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,64.0,80.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,147,276980,0.0-7.0-5.0-6.0-1.4,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,148,277248,0.0-7.0-5.0-6.0-0.5,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,267.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,65.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,149,278250,0.0-7.0-5.0-6.0-1.5,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,150,279355,0.0-7.0-5.0-6.0-0.6,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,1105.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,66.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,151,280357,0.0-7.0-5.0-6.0-1.6,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,152,281527,0.0-7.0-5.0-6.0-0.7,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,1169.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,67.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,153,282529,0.0-7.0-5.0-6.0-1.7,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,154,282949,0.0-7.0-5.0-6.0-0.8,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,420.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,68.0,80.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,155,283950,0.0-7.0-5.0-6.0-1.8,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,156,284322,0.0-7.0-5.0-6.0-0.9,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,371.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,69.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,157,285323,0.0-7.0-5.0-6.0-1.9,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,158,286105,0.0-7.0-5.0-6.0-0.10,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,781.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,70.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,159,287113,0.0-7.0-5.0-6.0-1.10,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,160,288117,0.0-7.0-5.0-6.0-0.11,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,1003.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowleft,True,3.0,71.0,80.0,70.0,80.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,161,289121,0.0-7.0-5.0-6.0-1.11,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>80</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,162,289210,0.0-7.0-5.0-6.0-0.12,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,88.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",arrowright,True,3.0,72.0,80.0,70.0,70.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,163,290214,0.0-7.0-5.0-6.0-1.12,gGaL9V5DuAw39Y6Pxdwu,223301,5,GFajfPHQkQhq53gi8i0m38oHV2,7TNdqDaJegSIqjvCjkgiaSCXzV,1536.0,864.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>70</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
