view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a1,task_time_series,task_admc_dr,task_impossible_question,task_leapfrog,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc2,task_cognitive_reflection,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_number_series,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,list_id,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,ns_id,ns_response
"[{'page_index': 0, 'viewing_time': 41307}]",41307.0,instructions,3,41313,0.0-3.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,q1P4pqJJ4y0N2xc31ynJ4fcjHW,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,41315,0.0-4.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,q1P4pqJJ4y0N2xc31ynJ4fcjHW,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,5,42315,0.0-5.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,q1P4pqJJ4y0N2xc31ynJ4fcjHW,1440.0,900.0,1440.0,697.0,True,chrome,123.0.0,False,Mac OS,True,60.58,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,46282,0.0-6.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,q1P4pqJJ4y0N2xc31ynJ4fcjHW,1440.0,900.0,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,7,46284,0.0-7.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,q1P4pqJJ4y0N2xc31ynJ4fcjHW,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,8,46285,0.0-8.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,q1P4pqJJ4y0N2xc31ynJ4fcjHW,1440.0,900.0,,,,,,,,,,,,async_data_save,,experiment__welcome,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,0,2,0.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
