trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_impossible_question,task_graph_literacy,task_admc_rc1,task_admc_a2,task_shipley_abstraction,task_admc_rp,task_time_series,task_shipley_vocab,task_coherence_forecasting,task_leapfrog,task_bayesian_update_easy,task_bayesian_update_hard,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_choice,response_slider,slider_moved,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,admc_id,admc_response,shipley_abstraction_score,moved_sliders,y_axis_values,chart_height,func,direction,noise_condition,datapoints,question_order,shipley_vocabulary_score,cfs_id,cfs_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
call-function,0,0,0.0-0.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,f5bpQ2A90NR0LyKdNkQ0yJd2lk,1470.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,1,4766,0.0-1.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,f5bpQ2A90NR0LyKdNkQ0yJd2lk,1470.0,920.0,"[{'page_index': 0, 'viewing_time': 4765}]",4766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,2,4767,0.0-2.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,f5bpQ2A90NR0LyKdNkQ0yJd2lk,1470.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,3,5763,0.0-3.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,f5bpQ2A90NR0LyKdNkQ0yJd2lk,1470.0,920.0,,,1470.0,762.0,True,chrome,122.0.0,False,Mac OS,True,60.66,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullscreen,4,10651,0.0-4.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,f5bpQ2A90NR0LyKdNkQ0yJd2lk,1470.0,920.0,,,,,,,,,,,,,,fullscreen,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,5,10659,0.0-5.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,f5bpQ2A90NR0LyKdNkQ0yJd2lk,1470.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,6,10661,0.0-6.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,f5bpQ2A90NR0LyKdNkQ0yJd2lk,1470.0,920.0,,,,,,,,,,,,,,async_data_save,,experiment__welcome,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,0,1,0.0-0.0,3t2nEqai6BrZR8VAubQP,223301,3,HbdrZHD6UiidrG6X6oFefKIGai,5WDsPnsEzBsT5r8OcTK4XNIcEo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
