"subject_id","Format","qorder","Frame","item","form","wave","1","2","3","4","5","resolution","0.05","0.25","0.5","0.75","0.95","total_score","sscore_standardized"
"lyIrRQDlf7VQBePz3Tdi","List","descending","Positive","G1190",2,0,3.85,4.3,5,6,7,3.837,0.0123499999999999,0.34725,0.5815,0.54075,0.15815,1.64,3.98270275969463
"lyIrRQDlf7VQBePz3Tdi","List","descending","Positive","M811",2,0,30,33,34,35,36,118,4.4,21.25,42,62.25,77.9,207.8,-0.712290747347277
"FA8OvPwYfBWCM6C6ROGv","Separate","descending","Negative","G1190",2,0,3,3.7,3.85,4,4.7,3.837,0.04185,0.03425,0.00649999999999995,0.04075,0.04315,0.1665,-0.539463852650113
"FA8OvPwYfBWCM6C6ROGv","Separate","descending","Negative","M811",2,0,10,100,200,300,500,118,5.4,4.5,41,45.5,19.1,115.5,-1.85474606737221
"hgHAiY89xQA0EOPof2AH","Separate","descending","Negative","G1190",2,0,3.6,3.8,3.9,4,4.5,3.837,0.01185,0.00925000000000009,0.0314999999999999,0.04075,0.03315,0.1265,-0.662223719968599
"hgHAiY89xQA0EOPof2AH","Separate","descending","Negative","M811",2,0,1,1,2,4,5,118,5.85,29.25,58,85.5,107.35,285.95,0.255021097289219
"xhAFcS05KyQpx94EAuwt","Separate","descending","Negative","G1190",2,0,3.505,3.65,3.81,3.85,4,3.837,0.0166,0.0467500000000001,0.0135000000000001,0.00324999999999998,0.00815,0.0882500000000001,-0.779612843091901
"xhAFcS05KyQpx94EAuwt","Separate","descending","Negative","M811",2,0,1,3,53,9393,4,118,5.85,28.75,32.5,2318.75,108.3,2494.15,5
"i8Omv5ng1pgjhYSuJxQk","List","ascending","Positive","G1210",1,0,85,90,95,96,97,96.615,0.58075,1.65375,0.807499999999997,0.461249999999996,0.0192500000000003,3.52249999999999,-0.479086524633281
"i8Omv5ng1pgjhYSuJxQk","List","ascending","Positive","G1461",1,0,419,419.1,419.2,419.3,419.4,419.84,0.0419999999999988,0.184999999999988,0.319999999999993,0.404999999999973,0.417999999999998,1.36999999999995,-0.210309280251202
"iuzksaAl7aeR1oSIYQ0t","List","descending","Positive","G1210",1,0,81.5,89.32,91.23,93.85,95.25,96.615,0.75575,1.82375,2.6925,2.07375,1.29675,8.64249999999999,0.03811344566261
"iuzksaAl7aeR1oSIYQ0t","List","descending","Positive","G1461",1,0,418.34,419,419.25,420.04,421.18,419.84,0.075,0.209999999999994,0.294999999999987,0.0500000000000114,0.0670000000000017,0.696999999999994,-0.245379087613037
"ZLL42EGlGJfAB1gK6KES","List","ascending","Negative","G1210",1,0,95.37,95.375,95.38,95.39,95.4,96.615,0.0622499999999995,0.309999999999999,0.6175,0.918749999999996,1.15424999999999,3.06274999999998,-0.525528455559754
"ZLL42EGlGJfAB1gK6KES","List","ascending","Negative","G1461",1,0,419.8,419.85,419.9,419.95,420,419.84,0.00199999999999818,0.00750000000003581,0.0300000000000011,0.0275000000000034,0.00800000000000126,0.0750000000000398,-0.277791301846412
"imxdJ2Yit5uDFRdxbTzA","Separate","descending","Positive","G1210",1,0,89,91,92,94,95,96.615,0.38075,1.40375,2.3075,1.96125,1.53425,7.58749999999999,-0.0684580325917196
"imxdJ2Yit5uDFRdxbTzA","Separate","descending","Positive","G1461",1,0,412410,414,415,416,418,419.84,391390.652,1.45999999999999,2.41999999999999,2.87999999999998,1.74799999999998,391399.16,5
"HIXirBH1VmDYG2LJM00q","Separate","descending","Positive","G1190",2,0,23,3,5.3,4,5,3.837,18.20485,0.20925,0.7315,0.04075,0.05815,19.2445,5
"HIXirBH1VmDYG2LJM00q","Separate","descending","Positive","M811",2,0,101,28,36,4,5,118,0.85,22.5,41,85.5,107.35,257.2,-0.100835787333932
"mW12mcCvJvTrSTWLYGfP","List","ascending","Positive","G1190",2,0,3.75,3.5,5,4.5,6,3.837,0.00435000000000001,0.08425,0.5815,0.16575,0.10815,0.944,1.84668106835297
"mW12mcCvJvTrSTWLYGfP","List","ascending","Positive","M811",2,0,1,2,2,3,5,118,5.85,29,58,86.25,107.35,286.45,0.26120991267397
"3ldXGpLM5xSgTntmyhjK","Separate","ascending","Positive","G1210",1,0,58,66,77,90,102,96.615,1.93075,7.65375,9.8075,4.96125,0.26925,24.6225,1.6523430404533
"3ldXGpLM5xSgTntmyhjK","Separate","ascending","Positive","G1461",1,0,410,412,418,422,426,419.84,0.491999999999999,1.95999999999999,0.919999999999987,0.540000000000006,0.308000000000002,4.21999999999999,-0.0617967230725413
"zYhFPRyzPf777tyZ16P4","List","descending","Negative","G1210",1,0,96.5,96.1,95.55,95.62,95.63,96.615,0.00574999999999974,0.12875,0.532499999999999,0.746249999999993,0.935749999999999,2.34899999999999,-0.597628353762623
"zYhFPRyzPf777tyZ16P4","List","descending","Negative","G1461",1,0,421.64,420.2,420.2,421.15,421.32,419.84,1.71000000000001,0.27000000000001,0.180000000000007,0.327500000000001,0.074000000000001,2.56150000000003,-0.148220609416681
"i7tXFpSRGtKMAse1e8Ho","List","ascending","Negative","G1190",2,0,8.5,8.6,8.79,8.81,9,3.837,4.42985,3.57225,2.4765,1.24325,0.25815,11.98,5
"i7tXFpSRGtKMAse1e8Ho","List","ascending","Negative","M811",2,0,5,4,3.5,3,2.5,118,5.65,28.5,57.25,86.25,109.725,287.375,0.272659221135758
"3JKW5zSXGkFMU7hy3Uim","Separate","descending","Negative","G1190",2,0,3,3.5,4,4.5,5,3.837,0.04185,0.08425,0.0814999999999999,0.16575,0.05815,0.4315,0.273820268334859
"3JKW5zSXGkFMU7hy3Uim","Separate","descending","Negative","M811",2,0,6,5,4,3,2,118,5.6,28.25,57,86.25,110.2,287.3,0.271730898828046
"DlgqDFDTBhm3azaOtREy","List","descending","Negative","G1190",2,0,3.26,3.39,3.44,3.51,3.72,3.837,0.02885,0.11175,0.1985,0.24525,0.11115,0.6955,1.08403539263687
"DlgqDFDTBhm3azaOtREy","List","descending","Negative","M811",2,0,3,5,7,9,12,118,5.75,28.25,55.5,81.75,100.7,271.95,0.0817342665162066
"HNOz9hc9LYQrYm4Qboy1","List","ascending","Positive","G1190",2,0,3.25,3.5,3.75,4,4.5,3.837,0.02935,0.08425,0.0435000000000001,0.04075,0.03315,0.231,-0.341513566599053
"HNOz9hc9LYQrYm4Qboy1","List","ascending","Positive","M811",2,0,0,3,7,9,10,118,5.9,28.75,55.5,81.75,102.6,274.5,0.113297224978434
"ao1KwgCA9E0ZMxxBHxdX","List","descending","Negative","G1210",1,0,97.5,97,96.75,96.5,96,96.615,0.840750000000005,0.288750000000004,0.0675000000000026,0.0862499999999962,0.584249999999995,1.8675,-0.646267374406659
"ao1KwgCA9E0ZMxxBHxdX","List","descending","Negative","G1461",1,0,420.15,420,419.95,419.85,419.78,419.84,0.294500000000002,0.120000000000019,0.0550000000000068,0.00250000000001194,0.0570000000000022,0.529000000000042,-0.254133512036197
"WQ5TLsN6AEzG08dUuaai","List","ascending","Positive","G1210",1,0,74,80,95,96.25,98,96.615,1.13075,4.15375,0.807499999999997,0.273749999999996,0.0692500000000003,6.43499999999999,-0.184878533717894
"WQ5TLsN6AEzG08dUuaai","List","ascending","Positive","G1461",1,0,419.6,419.8,420,421,421.6,419.84,0.0119999999999976,0.00999999999999091,0.0800000000000125,0.290000000000006,0.0880000000000025,0.48000000000001,-0.256686885826288
"bLPxhhCt4rjoyoQxbzf9","List","ascending","Positive","G1210",1,0,98.56,97.61,95.8,92.8,90.4,96.615,1.84775000000001,0.746250000000003,0.407499999999999,2.86125,5.90424999999999,11.767,0.353736747848062
"bLPxhhCt4rjoyoQxbzf9","List","ascending","Positive","G1461",1,0,420,400,375,350,300,419.84,0.152000000000024,4.95999999999999,22.42,52.38,113.848,193.76,5
"zUoYMIAkRhhPousQANuT","List","descending","Positive","G1210",1,0,95,97,93,98,100,96.615,0.0807499999999998,0.288750000000004,1.8075,0.346250000000001,0.16925,2.6925,-0.562929488567965
"zUoYMIAkRhhPousQANuT","List","descending","Positive","G1461",1,0,420.75,421.5,422,423,424,419.84,0.864500000000024,1.24500000000002,1.08000000000001,0.790000000000006,0.208000000000001,4.18750000000006,-0.063490287321066
"xrgPyBzRkBWXcysjGZrT","List","descending","Negative","G1190",2,0,2.5,4.25,4,3.75,3.5,3.837,0.06685,0.30975,0.0814999999999999,0.0652500000000001,0.32015,0.8435,1.53824690171527
"xrgPyBzRkBWXcysjGZrT","List","descending","Negative","M811",2,0,1,2,3,4,5,118,5.85,29,57.5,85.5,107.35,285.2,0.245737874212094
"P3If8blcD6Emr7oH81pi","List","descending","Negative","G1210",1,0,70,70,98,96,96,96.615,1.33075,6.65375,0.692500000000003,0.461249999999996,0.584249999999995,9.72249999999999,0.1472103143969
"P3If8blcD6Emr7oH81pi","List","descending","Negative","G1461",1,0,399,400,419,419,419,419.84,1.042,4.95999999999999,0.419999999999987,0.629999999999981,0.797999999999976,7.84999999999994,0.1273613760708
"rjnyZKpQLvnf7DCvDstX","List","ascending","Negative","G1190",2,0,3.6,3.78,3.8,3.83,3.87,3.837,0.01185,0.0142500000000001,0.0185000000000002,0.00525000000000009,0.00165,0.0515000000000004,-0.89239847119076
"rjnyZKpQLvnf7DCvDstX","List","ascending","Negative","M811",2,0,20,30,31,35,45,118,4.9,22,43.5,62.25,69.35,202,-0.784081005810382
"XVePAHSbgwGBJIBYShah","List","ascending","Positive","G1210",1,0,90,92,94,95,100,96.615,0.33075,1.15375,1.3075,1.21125,0.16925,4.17249999999999,-0.41342637215431
"XVePAHSbgwGBJIBYShah","List","ascending","Positive","G1461",1,0,419.65,419.8,419.89,419.95,420,419.84,0.00949999999999989,0.00999999999999091,0.0250000000000057,0.0275000000000034,0.00800000000000126,0.0800000000000011,-0.277530753500487
"8mwyokdr12PKDZFUp0oI","List","descending","Negative","G1190",2,0,3.55,3.75,4,4.8,5,3.837,0.01435,0.02175,0.0814999999999999,0.24075,0.05815,0.4165,0.227785318090426
"8mwyokdr12PKDZFUp0oI","List","descending","Negative","M811",2,0,19,16,10,2,1,118,4.95,25.5,54,87,111.15,282.6,0.213556034211391
"5sGgiEeaWXdIqrSQzgLF","List","descending","Positive","G1190",2,0,3.43,3.75,3.88,3.99,4.25,3.837,0.02035,0.02175,0.0214999999999999,0.03825,0.02065,0.1225,-0.674499706700448
"5sGgiEeaWXdIqrSQzgLF","List","descending","Positive","M811",2,0,18,24,28,30,32,118,5,23.5,45,66,81.7,221.2,-0.546430495035964
"73VBziJ6ymu76O873xzH","Separate","ascending","Positive","G1190",2,0,3,3,4,5,6,3.837,0.04185,0.20925,0.0814999999999999,0.29075,0.10815,0.7315,1.19451927322351
